Pos,No,Driver,Car,Time,Gap,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:21.631,,18
2,63,George RussellRUS,Mercedes,1:22.010,+0.379s,18
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:22.631,+1.000s,18
4,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:22.634,+1.003s,14
5,44,Lewis HamiltonHAM,Mercedes,1:22.723,+1.092s,18
6,23,Alexander AlbonALB,Williams Mercedes,1:22.750,+1.119s,19
7,81,Oscar PiastriPIA,McLaren Mercedes,1:22.892,+1.261s,20
8,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:22.965,+1.334s,25
9,16,Charles LeclercLEC,Ferrari,1:23.093,+1.462s,12
10,4,Lando NorrisNOR,McLaren Mercedes,1:23.158,+1.527s,24
11,10,Pierre GaslyGAS,Alpine Renault,1:23.210,+1.579s,15
12,55,Carlos SainzSAI,Ferrari,1:23.438,+1.807s,17
13,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:23.544,+1.913s,18
14,2,Logan SargeantSAR,Williams Mercedes,1:23.570,+1.939s,20
15,27,Nico HulkenbergHUL,Haas Ferrari,1:23.640,+2.009s,20
16,31,Esteban OconOCO,Alpine Renault,1:23.806,+2.175s,12
17,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:24.058,+2.427s,15
18,40,Liam LawsonLAW,AlphaTauri Honda RBPT,1:26.343,+4.712s,26
19,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:28.482,+6.851s,9
20,20,Kevin MagnussenMAG,Haas Ferrari,,,1
