Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,77,Valtteri BottasBOT,Mercedes,1:42.026,1:41.500,1:40.495,20
2,44,Lewis HamiltonHAM,Mercedes,1:41.614,1:41.580,1:40.554,21
3,5,Sebastian VettelVET,Ferrari,1:42.042,1:41.889,1:40.797,23
4,33,Max VerstappenVER,Red Bull Racing Honda,1:41.727,1:41.388,1:41.069,15
5,11,Sergio PerezPER,Racing Point BWT Mercedes,1:42.249,1:41.870,1:41.593,17
6,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:42.324,1:42.221,1:41.681,23
7,4,Lando NorrisNOR,McLaren Renault,1:42.371,1:42.084,1:41.886,23
8,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:42.140,1:42.381,1:42.424,21
DQ,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:42.059,1:42.082,1:43.068,21
9,16,Charles LeclercLEC,Ferrari,1:41.426,1:41.995,,11
10,55,Carlos SainzSAI,McLaren Renault,1:41.936,1:42.398,,17
11,3,Daniel RicciardoRIC,Renault,1:42.486,1:42.477,,15
12,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,1:42.154,1:42.494,,18
13,20,Kevin MagnussenMAG,Haas Ferrari,1:42.382,1:42.699,,16
DQ,10,Pierre GaslyGAS,Red Bull Racing Honda,1:41.335,,,5
14,18,Lance StrollSTR,Racing Point BWT Mercedes,1:42.630,,,8
15,8,Romain GrosjeanGRO,Haas Ferrari,1:43.407,,,10
16,27,Nico HulkenbergHUL,Renault,1:43.427,,,8
17,63,George RussellRUS,Williams Mercedes,1:45.062,,,9
18,88,Robert KubicaKUB,Williams Mercedes,1:45.455,,,8
