Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,5,Sebastian VettelVET,Ferrari,1:11.200,1:11.142,1:10.240,23
2,44,Lewis HamiltonHAM,Mercedes,1:11.518,1:11.010,1:10.446,22
3,16,Charles LeclercLEC,Ferrari,1:11.214,1:11.205,1:10.920,23
4,3,Daniel RicciardoRIC,Renault,1:11.837,1:11.532,1:11.071,20
5,10,Pierre GaslyGAS,Red Bull Racing Honda,1:12.023,1:11.196,1:11.079,17
6,77,Valtteri BottasBOT,Mercedes,1:11.229,1:11.095,1:11.101,19
7,27,Nico HulkenbergHUL,Renault,1:11.720,1:11.553,1:11.324,21
8,4,Lando NorrisNOR,McLaren Renault,1:11.780,1:11.735,1:11.863,20
9,55,Carlos SainzSAI,McLaren Renault,1:11.750,1:11.572,1:13.981,19
10,20,Kevin MagnussenMAG,Haas Ferrari,1:12.107,1:11.786,,15
11,33,Max VerstappenVER,Red Bull Racing Honda,1:11.619,1:11.800,,12
12,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:11.965,1:11.921,,17
13,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:12.122,1:12.136,,16
14,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,1:12.020,1:12.193,,16
15,8,Romain GrosjeanGRO,Haas Ferrari,1:12.109,DNF,,15
16,11,Sergio PerezPER,Racing Point BWT Mercedes,1:12.197,,,6
17,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:12.230,,,10
18,18,Lance StrollSTR,Racing Point BWT Mercedes,1:12.266,,,9
19,63,George RussellRUS,Williams Mercedes,1:13.617,,,10
20,88,Robert KubicaKUB,Williams Mercedes,1:14.393,,,10
