Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,33,Max VerstappenVER,Red Bull Racing Honda,1:08.242,1:07.503,1:07.508,12
2,5,Sebastian VettelVET,Ferrari,1:08.556,1:08.050,1:07.631,15
3,44,Lewis HamiltonHAM,Mercedes,1:08.614,1:08.088,1:07.699,16
4,16,Charles LeclercLEC,Ferrari,1:08.496,1:07.888,1:07.728,20
5,77,Valtteri BottasBOT,Mercedes,1:08.545,1:08.232,1:07.874,17
6,23,Alexander AlbonALB,Red Bull Racing Honda,1:08.503,1:08.117,1:07.935,14
7,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:08.909,1:08.770,1:08.837,22
8,8,Romain GrosjeanGRO,Haas Ferrari,1:09.197,1:08.705,1:08.854,16
9,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:09.276,1:08.858,1:08.984,20
10,20,Kevin MagnussenMAG,Haas Ferrari,1:08.875,1:08.803,1:09.037,15
11,4,Lando NorrisNOR,McLaren Renault,1:08.891,1:08.868,,13
12,3,Daniel RicciardoRIC,Renault,1:09.086,1:08.903,,12
13,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:09.175,1:08.919,,14
14,27,Nico HulkenbergHUL,Renault,1:09.050,1:08.921,,12
15,11,Sergio PerezPER,Racing Point BWT Mercedes,1:09.288,1:09.035,,14
16,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:09.320,,,10
17,18,Lance StrollSTR,Racing Point BWT Mercedes,1:09.536,,,9
18,63,George RussellRUS,Williams Mercedes,1:10.126,,,9
19,88,Robert KubicaKUB,Williams Mercedes,1:10.614,,,9
NC,55,Carlos SainzSAI,McLaren Renault,DNF,,,2
