Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,5,Sebastian VettelVET,Ferrari,1:28.988,1:28.174,1:27.064,16
2,16,Charles LeclercLEC,Ferrari,1:28.405,1:28.179,1:27.253,16
3,77,Valtteri BottasBOT,Mercedes,1:28.896,1:27.688,1:27.293,21
4,44,Lewis HamiltonHAM,Mercedes,1:28.735,1:27.826,1:27.302,20
5,33,Max VerstappenVER,Red Bull Racing Honda,1:28.754,1:28.499,1:27.851,16
6,23,Alexander AlbonALB,Red Bull Racing Honda,1:29.351,1:28.156,1:27.851,19
7,55,Carlos SainzSAI,McLaren Renault,1:29.018,1:28.577,1:28.304,21
8,4,Lando NorrisNOR,McLaren Renault,1:28.873,1:28.571,1:28.464,21
9,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:29.411,1:28.779,1:28.836,21
10,8,Romain GrosjeanGRO,Haas Ferrari,1:29.572,1:29.144,1:29.341,15
11,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:29.604,1:29.254,,15
12,18,Lance StrollSTR,Racing Point BWT Mercedes,1:29.594,1:29.345,,12
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:29.636,1:29.358,,15
14,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:29.723,1:29.563,,16
15,27,Nico HulkenbergHUL,Renault,1:29.619,1:30.112,,13
16,3,Daniel RicciardoRIC,Renault,1:29.822,,,8
17,11,Sergio PerezPER,Racing Point BWT Mercedes,1:30.344,,,9
18,63,George RussellRUS,Williams Mercedes,1:30.364,,,10
NC,20,Kevin MagnussenMAG,Haas Ferrari,DNF,,,2
NC,88,Robert KubicaKUB,Williams Mercedes,DNS,,,1
