Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,77,Valtteri BottasBOT,Mercedes,1:32.658,1:31.728,1:31.547,16
2,44,Lewis HamiltonHAM,Mercedes,1:33.115,1:31.637,1:31.570,16
3,5,Sebastian VettelVET,Ferrari,1:33.557,1:32.232,1:31.848,17
4,16,Charles LeclercLEC,Ferrari,1:32.712,1:32.324,1:31.865,16
5,33,Max VerstappenVER,Red Bull Racing Honda,1:33.274,1:32.369,1:32.089,14
6,10,Pierre GaslyGAS,Red Bull Racing Honda,1:33.863,1:32.948,1:32.930,14
7,3,Daniel RicciardoRIC,Renault,1:33.709,1:33.214,1:32.958,18
8,27,Nico HulkenbergHUL,Renault,1:33.644,1:32.968,1:32.962,15
9,20,Kevin MagnussenMAG,Haas Ferrari,1:34.036,1:33.150,DNF,16
10,8,Romain GrosjeanGRO,Haas Ferrari,1:33.752,1:33.156,DNF,15
11,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:33.783,1:33.236,,12
12,11,Sergio PerezPER,Racing Point BWT Mercedes,1:34.026,1:33.299,,12
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:34.125,1:33.419,,12
14,55,Carlos SainzSAI,McLaren Renault,1:33.686,1:33.523,,12
15,4,Lando NorrisNOR,McLaren Renault,1:34.148,1:33.967,,12
16,18,Lance StrollSTR,Racing Point BWT Mercedes,1:34.292,,,6
17,63,George RussellRUS,Williams Mercedes,1:35.253,,,9
18,88,Robert KubicaKUB,Williams Mercedes,1:35.281,,,9
NC,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,DNF,,,2
