Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:22.043,1:21.014,1:20.486,18
2,77,Valtteri BottasBOT,Mercedes,1:22.367,1:21.193,1:20.598,19
3,5,Sebastian VettelVET,Ferrari,1:22.885,1:21.912,1:21.190,16
4,33,Max VerstappenVER,Red Bull Racing Honda,1:22.876,1:21.678,1:21.320,17
5,16,Charles LeclercLEC,Ferrari,1:22.017,1:21.739,1:21.442,17
6,8,Romain GrosjeanGRO,Haas Ferrari,1:22.959,1:21.870,1:21.826,17
7,20,Kevin MagnussenMAG,Haas Ferrari,1:22.519,1:22.221,1:22.099,18
8,4,Lando NorrisNOR,McLaren Renault,1:22.702,1:22.423,1:22.304,21
9,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:22.966,1:22.349,1:22.314,17
10,11,Sergio PerezPER,Racing Point BWT Mercedes,1:22.908,1:22.532,1:22.781,15
11,27,Nico HulkenbergHUL,Renault,1:22.540,1:22.562,,10
12,3,Daniel RicciardoRIC,Renault,1:22.921,1:22.570,,12
13,23,Alexander AlbonALB,Scuderia Toro Rosso Honda,1:22.757,1:22.636,,14
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:22.431,1:22.714,,14
15,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,1:22.511,1:22.774,,13
16,18,Lance StrollSTR,Racing Point BWT Mercedes,1:23.017,,,6
17,10,Pierre GaslyGAS,Red Bull Racing Honda,1:23.020,,,6
18,55,Carlos SainzSAI,McLaren Renault,1:23.084,,,6
19,63,George RussellRUS,Williams Mercedes,1:24.360,,,9
20,88,Robert KubicaKUB,Williams Mercedes,1:26.067,,,8
