Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:27.487,,24
2,77,Valtteri BottasBOT,Mercedes,1:27.854,+0.367s,27
3,5,Sebastian VettelVET,Ferrari,1:27.998,+0.511s,22
4,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:28.144,+0.657s,30
5,7,Kimi RäikkönenRAI,Ferrari,1:28.218,+0.731s,24
6,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:28.325,+0.838s,24
7,8,Romain GrosjeanGRO,Haas Ferrari,1:29.352,+1.865s,12
8,11,Sergio PerezPER,Force India Mercedes,1:29.812,+2.325s,23
9,31,Esteban OconOCO,Force India Mercedes,1:29.815,+2.328s,24
10,18,Lance StrollSTR,Williams Mercedes,1:29.878,+2.391s,25
11,9,Marcus EricssonERI,Sauber Ferrari,1:29.942,+2.455s,25
12,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:30.004,+2.517s,31
13,16,Charles LeclercLEC,Sauber Ferrari,1:30.027,+2.540s,27
14,20,Kevin MagnussenMAG,Haas Ferrari,1:30.065,+2.578s,20
15,14,Fernando AlonsoALO,McLaren Renault,1:30.322,+2.835s,19
16,55,Carlos SainzSAI,Renault,1:30.358,+2.871s,22
17,2,Stoffel VandoorneVAN,McLaren Renault,1:30.416,+2.929s,25
18,27,Nico HulkenbergHUL,Renault,1:30.701,+3.214s,18
19,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:30.749,+3.262s,31
20,35,Sergey SirotkinSIR,Williams Mercedes,1:31.017,+3.530s,22
