Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:18.148,,32
2,44,Lewis HamiltonHAM,Mercedes,1:18.997,+0.849s,22
3,5,Sebastian VettelVET,Ferrari,1:19.098,+0.950s,24
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:19.187,+1.039s,26
5,7,Kimi RäikkönenRAI,Ferrari,1:19.499,+1.351s,19
6,14,Fernando AlonsoALO,McLaren Renault,1:19.858,+1.710s,26
7,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:19.871,+1.723s,11
8,8,Romain GrosjeanGRO,Haas Ferrari,1:19.906,+1.758s,24
9,2,Stoffel VandoorneVAN,McLaren Renault,1:20.083,+1.935s,28
10,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:20.508,+2.360s,29
11,20,Kevin MagnussenMAG,Haas Ferrari,1:20.637,+2.489s,28
12,16,Charles LeclercLEC,Sauber Ferrari,1:20.665,+2.517s,23
13,11,Sergio PerezPER,Force India Mercedes,1:20.924,+2.776s,36
14,9,Marcus EricssonERI,Sauber Ferrari,1:20.984,+2.836s,18
15,55,Carlos SainzSAI,Renault,1:21.053,+2.905s,28
16,31,Esteban OconOCO,Force India Mercedes,1:21.144,+2.996s,27
17,27,Nico HulkenbergHUL,Renault,1:21.159,+3.011s,26
18,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:21.373,+3.225s,28
19,40,Robert KubicaKUB,Williams Mercedes,1:21.510,+3.362s,24
20,18,Lance StrollSTR,Williams Mercedes,1:22.756,+4.608s,15
