Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:44.242,,26
2,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:44.277,+0.035s,24
3,11,Sergio PerezPER,Force India Mercedes,1:45.075,+0.833s,26
4,44,Lewis HamiltonHAM,Mercedes,1:45.200,+0.958s,24
5,31,Esteban OconOCO,Force India Mercedes,1:45.237,+0.995s,29
6,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:45.559,+1.317s,11
7,14,Fernando AlonsoALO,McLaren Renault,1:46.465,+2.223s,25
8,35,Sergey SirotkinSIR,Williams Mercedes,1:46.480,+2.238s,28
9,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:46.492,+2.250s,18
10,5,Sebastian VettelVET,Ferrari,1:46.513,+2.271s,18
11,18,Lance StrollSTR,Williams Mercedes,1:46.590,+2.348s,26
12,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:46.747,+2.505s,32
13,27,Nico HulkenbergHUL,Renault,1:46.749,+2.507s,11
14,8,Romain GrosjeanGRO,Haas Ferrari,1:46.856,+2.614s,23
15,7,Kimi RäikkönenRAI,Ferrari,1:46.861,+2.619s,10
16,16,Charles LeclercLEC,Sauber Ferrari,1:46.875,+2.633s,21
17,9,Marcus EricssonERI,Sauber Ferrari,1:47.073,+2.831s,21
18,20,Kevin MagnussenMAG,Haas Ferrari,1:47.434,+3.192s,18
19,2,Stoffel VandoorneVAN,McLaren Renault,1:47.967,+3.725s,21
20,55,Carlos SainzSAI,Renault,1:48.741,+4.499s,11
