Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:32.231,,25
2,77,Valtteri BottasBOT,Mercedes,1:32.371,+0.140s,29
3,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:32.527,+0.296s,25
4,7,Kimi RäikkönenRAI,Ferrari,1:33.003,+0.772s,23
5,5,Sebastian VettelVET,Ferrari,1:33.172,+0.941s,19
6,8,Romain GrosjeanGRO,Haas Ferrari,1:33.318,+1.087s,22
7,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:33.331,+1.100s,15
8,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1:33.685,+1.454s,23
9,11,Sergio PerezPER,Force India Mercedes,1:33.719,+1.488s,26
10,20,Kevin MagnussenMAG,Haas Ferrari,1:34.108,+1.877s,23
11,55,Carlos SainzSAI,Renault,1:34.258,+2.027s,25
12,31,Esteban OconOCO,Force India Mercedes,1:34.484,+2.253s,14
13,16,Charles LeclercLEC,Sauber Ferrari,1:34.513,+2.282s,21
14,9,Marcus EricssonERI,Sauber Ferrari,1:34.592,+2.361s,21
15,28,Brendon HartleyHAR,Scuderia Toro Rosso Honda,1:34.664,+2.433s,25
16,14,Fernando AlonsoALO,McLaren Renault,1:34.862,+2.631s,20
17,18,Lance StrollSTR,Williams Mercedes,1:34.881,+2.650s,28
18,27,Nico HulkenbergHUL,Renault,1:34.993,+2.762s,24
19,2,Stoffel VandoorneVAN,McLaren Renault,1:35.021,+2.790s,24
20,35,Sergey SirotkinSIR,Williams Mercedes,1:35.105,+2.874s,25
