Pos,No,Driver,Car,Time,Gap
1,12,Ayrton SennaSEN,Lotus Renault,1:17.977,
2,20,Gerhard BergerBER,Benetton BMW,1:18.088,+0.110s
3,19,Teo FabiFAB,Benetton BMW,1:18.154,+0.176s
4,6,Nelson PiquetPIQ,Williams Honda,1:18.353,+0.376s
5,5,Nigel MansellMAN,Williams Honda,1:18.785,+0.810s
6,2,Keke RosbergROS,McLaren TAG,1:19.160,+1.183s
7,15,Alan  JonesJON,Lola Ford,1:19.244,+1.266s
8,1,Alain ProstPRO,McLaren TAG,1:19.282,+1.306s
9,7,Riccardo PatresePAT,Brabham BMW,1:19.520,+1.543s
10,28,Stefan JohanssonJOH,Ferrari,1:19.634,+1.656s
11,14,Jonathan  PalmerPAL,Zakspeed,1:20.392,+2.416s
12,25,Rene ArnouxARN,Ligier Renault,1:20.459,+2.483s
13,26,Philippe AlliotALL,Ligier Renault,1:20.541,+2.563s
14,11,Johnny DumfriesDUM,Lotus Renault,1:20.701,+2.723s
15,27,Michele AlboretoALB,Ferrari,1:20.702,+2.726s
16,8,Derek WarwickWAR,Brabham BMW,1:20.879,+2.903s
17,4,Philippe StreiffSTR,Tyrrell Renault,1:21.065,+3.090s
18,16,Patrick TambayTAM,Lola Ford,1:21.084,+3.106s
19,3,Martin BrundleBRU,Tyrrell Renault,1:21.447,+3.470s
20,17,Christian DannerDAN,Arrows BMW,1:21.879,+3.903s
21,29,Huub RothengatterROT,Zakspeed,1:22.230,+4.253s
22,24,Alessandro NanniniNAN,Minardi Motori Moderni,1:22.997,+5.020s
23,18,Thierry BoutsenBOU,Arrows BMW,1:23.515,+5.540s
24,23,Andrea de CesarisDEC,Minardi Motori Moderni,1:23.638,+5.660s
25,21,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:24.728,+6.750s
26,22,Allen BergBER,Osella Alfa Romeo,4:02.670,+164.693s
