Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:43.484,,20
2,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:43.490,+0.006s,23
3,44,Lewis HamiltonHAM,Mercedes,1:43.550,+0.066s,22
4,55,Carlos SainzSAI,Ferrari,1:43.950,+0.466s,25
5,81,Oscar PiastriPIA,McLaren Mercedes,1:43.983,+0.499s,25
6,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:44.029,+0.545s,24
7,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:44.093,+0.609s,24
8,27,Nico HulkenbergHUL,Haas Ferrari,1:44.475,+0.991s,24
9,63,George RussellRUS,Mercedes,1:44.536,+1.052s,16
10,50,Oliver BearmanBEA,Haas Ferrari,1:44.547,+1.063s,24
11,22,Yuki TsunodaTSU,RB Honda RBPT,1:44.645,+1.161s,24
12,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:44.683,+1.199s,25
13,23,Alexander AlbonALB,Williams Mercedes,1:44.737,+1.253s,25
14,43,Franco ColapintoCOL,Williams Mercedes,1:44.749,+1.265s,23
15,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:44.785,+1.301s,24
16,3,Daniel RicciardoRIC,RB Honda RBPT,1:45.056,+1.572s,26
17,4,Lando NorrisNOR,McLaren Mercedes,1:45.156,+1.672s,25
18,10,Pierre GaslyGAS,Alpine Renault,1:45.391,+1.907s,22
19,31,Esteban OconOCO,Alpine Renault,1:45.810,+2.326s,24
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:45.947,+2.463s,25
