Pos,No,Driver,Car,Time,Gap,Laps
1,4,Lando NorrisNOR,McLaren Mercedes,1:26.549,,26
2,81,Oscar PiastriPIA,McLaren Mercedes,1:26.880,+0.331s,24
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:26.983,+0.434s,25
4,27,Nico HulkenbergHUL,Haas Ferrari,1:26.990,+0.441s,26
5,16,Charles LeclercLEC,Ferrari,1:27.150,+0.601s,27
6,44,Lewis HamiltonHAM,Mercedes,1:27.202,+0.653s,26
7,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:27.233,+0.684s,21
8,55,Carlos SainzSAI,Ferrari,1:27.249,+0.700s,31
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:27.274,+0.725s,21
10,63,George RussellRUS,Mercedes,1:27.294,+0.745s,26
11,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:27.372,+0.823s,25
12,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:27.381,+0.832s,16
13,23,Alexander AlbonALB,Williams Mercedes,1:27.645,+1.096s,26
14,10,Pierre GaslyGAS,Alpine Renault,1:27.732,+1.183s,24
15,31,Esteban OconOCO,Alpine Renault,1:27.743,+1.194s,19
16,22,Yuki TsunodaTSU,RB Honda RBPT,1:27.745,+1.196s,26
17,2,Logan SargeantSAR,Williams Mercedes,1:27.809,+1.260s,24
18,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:27.813,+1.264s,19
19,3,Daniel RicciardoRIC,RB Honda RBPT,1:27.916,+1.367s,25
20,20,Kevin MagnussenMAG,Haas Ferrari,1:28.122,+1.573s,20
