Pos,No,Driver,Car,Time,Gap,Laps
1,63,George RussellRUS,Mercedes,1:10.702,,30
2,81,Oscar PiastriPIA,McLaren Mercedes,1:10.763,+0.061s,33
3,44,Lewis HamiltonHAM,Mercedes,1:10.813,+0.111s,30
4,4,Lando NorrisNOR,McLaren Mercedes,1:10.961,+0.259s,34
5,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:10.986,+0.284s,33
6,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:11.357,+0.655s,30
7,22,Yuki TsunodaTSU,RB Honda RBPT,1:11.374,+0.672s,31
8,20,Kevin MagnussenMAG,Haas Ferrari,1:11.430,+0.728s,33
9,16,Charles LeclercLEC,Ferrari,1:11.443,+0.741s,31
10,23,Alexander AlbonALB,Williams Mercedes,1:11.550,+0.848s,33
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:11.576,+0.874s,31
12,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:11.581,+0.879s,29
13,3,Daniel RicciardoRIC,RB Honda RBPT,1:11.630,+0.928s,31
14,10,Pierre GaslyGAS,Alpine Renault,1:11.644,+0.942s,33
15,2,Logan SargeantSAR,Williams Mercedes,1:11.818,+1.116s,32
16,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:11.934,+1.232s,33
17,31,Esteban OconOCO,Alpine Renault,1:12.061,+1.359s,33
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:12.206,+1.504s,32
19,55,Carlos SainzSAI,Ferrari,1:13.108,+2.406s,7
20,27,Nico HulkenbergHUL,Haas Ferrari,1:13.296,+2.594s,10
