Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:11.278,,37
2,44,Lewis HamiltonHAM,Mercedes,1:11.466,+0.188s,32
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:11.753,+0.475s,37
4,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:11.813,+0.535s,37
5,4,Lando NorrisNOR,McLaren Mercedes,1:11.953,+0.675s,35
6,55,Carlos SainzSAI,Ferrari,1:11.962,+0.684s,36
7,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:12.062,+0.784s,22
8,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:12.099,+0.821s,31
9,23,Alexander AlbonALB,Williams Mercedes,1:12.257,+0.979s,38
10,63,George RussellRUS,Mercedes,1:12.260,+0.982s,30
11,22,Yuki TsunodaTSU,RB Honda RBPT,1:12.349,+1.071s,36
12,81,Oscar PiastriPIA,McLaren Mercedes,1:12.366,+1.088s,35
13,20,Kevin MagnussenMAG,Haas Ferrari,1:12.473,+1.195s,31
14,31,Esteban OconOCO,Alpine Renault,1:12.554,+1.276s,34
15,27,Nico HulkenbergHUL,Haas Ferrari,1:12.569,+1.291s,34
16,3,Daniel RicciardoRIC,RB Honda RBPT,1:12.577,+1.299s,37
17,10,Pierre GaslyGAS,Alpine Renault,1:12.750,+1.472s,35
18,2,Logan SargeantSAR,Williams Mercedes,1:12.790,+1.512s,36
19,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:13.057,+1.779s,31
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:13.773,+2.495s,32
