Pos,No,Driver,Car,Time,Gap,Laps
1,4,Lando NorrisNOR,McLaren Mercedes,1:30.727,,27
2,16,Charles LeclercLEC,Ferrari,1:30.785,+0.058s,28
3,55,Carlos SainzSAI,Ferrari,1:31.356,+0.629s,27
4,22,Yuki TsunodaTSU,RB Honda RBPT,1:31.468,+0.741s,28
5,81,Oscar PiastriPIA,McLaren Mercedes,1:31.474,+0.747s,27
6,3,Daniel RicciardoRIC,RB Honda RBPT,1:31.478,+0.751s,26
7,63,George RussellRUS,Mercedes,1:31.488,+0.761s,25
8,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:31.598,+0.871s,25
9,23,Alexander AlbonALB,Williams Mercedes,1:31.650,+0.923s,26
10,27,Nico HulkenbergHUL,Haas Ferrari,1:31.667,+0.940s,26
11,44,Lewis HamiltonHAM,Mercedes,1:31.709,+0.982s,24
12,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:31.750,+1.023s,25
13,20,Kevin MagnussenMAG,Haas Ferrari,1:31.793,+1.066s,26
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:31.957,+1.230s,25
15,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:32.021,+1.294s,24
16,43,Franco ColapintoCOL,Williams Mercedes,1:32.057,+1.330s,26
17,31,Esteban OconOCO,Alpine Renault,1:32.119,+1.392s,27
18,10,Pierre GaslyGAS,Alpine Renault,1:32.222,+1.495s,27
19,24,Zhou GuanyuZHO,Kick Sauber Ferrari,1:32.359,+1.632s,26
20,77,Valtteri BottasBOT,Kick Sauber Ferrari,1:32.786,+2.059s,26
