Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,3,Kimi RäikkönenRAI,McLaren Mercedes,1:21.994,1:21.349,1:21.484,18
2,5,Michael SchumacherMSC,Ferrari,1:21.711,1:21.353,1:21.486,17
3,16,Nick HeidfeldHEI,Sauber BMW,1:21.764,1:21.425,1:21.653,20
4,6,Felipe MassaMAS,Ferrari,1:22.028,1:21.225,1:21.704,17
5,12,Jenson ButtonBUT,Honda,1:22.512,1:21.572,1:22.011,21
6,17,Robert KubicaKUB,Sauber BMW,1:22.437,1:21.270,1:22.258,21
7,4,Pedro de la RosaDLR,McLaren Mercedes,1:22.422,1:21.878,1:22.280,22
8,11,Rubens BarrichelloBAR,Honda,1:22.640,1:21.688,1:22.787,21
9,2,Giancarlo FisichellaFIS,Renault,1:22.486,1:21.722,1:23.175,21
10,1,Fernando AlonsoALO,Renault,1:21.747,1:21.526,1:25.688,17
11,8,Jarno TrulliTRU,Toyota,1:22.093,1:21.924,,12
12,10,Nico RosbergROS,Williams Cosworth,1:22.581,1:22.203,,11
13,7,Ralf SchumacherRSC,Toyota,1:22.622,1:22.280,,13
14,14,David CoulthardCOU,RBR Ferrari,1:22.618,1:22.589,,14
15,21,Scott SpeedSPE,STR Cosworth,1:22.943,1:23.165,,17
16,15,Christian KlienKLI,RBR Ferrari,1:22.898,,,6
17,20,Vitantonio LiuzziLIU,STR Cosworth,1:23.043,,,9
18,19,Christijan AlbersALB,MF1 Toyota,1:23.116,,,5
19,9,Mark WebberWEB,Williams Cosworth,1:23.341,,,6
20,18,Tiago MonteiroMON,MF1 Toyota,1:23.920,,,5
21,22,Takuma SatoSAT,Super Aguri Honda,1:24.289,,,8
22,23,Sakon YamamotoYAM,Super Aguri Honda,1:26.001,,,4
