Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,6,Felipe MassaMAS,Ferrari,1:30.112,1:29.830,1:29.599,16
2,5,Michael SchumacherMSC,Ferrari,1:31.279,1:28.954,1:29.711,17
3,7,Ralf SchumacherRSC,Toyota,1:30.595,1:30.299,1:29.989,19
4,8,Jarno TrulliTRU,Toyota,1:30.420,1:30.204,1:30.039,19
5,1,Fernando AlonsoALO,Renault,1:30.976,1:30.357,1:30.371,16
6,2,Giancarlo FisichellaFIS,Renault,1:31.696,1:30.306,1:30.599,17
7,12,Jenson ButtonBUT,Honda,1:30.847,1:30.268,1:30.992,22
8,11,Rubens BarrichelloBAR,Honda,1:31.972,1:30.598,1:31.478,21
9,16,Nick HeidfeldHEI,Sauber BMW,1:31.811,1:30.470,1:31.513,18
10,10,Nico RosbergROS,Williams Cosworth,1:30.585,1:30.321,1:31.856,22
11,3,Kimi RäikkönenRAI,McLaren Mercedes,1:32.080,1:30.827,,9
12,17,Robert KubicaKUB,Sauber BMW,1:31.204,1:31.094,,8
13,4,Pedro de la RosaDLR,McLaren Mercedes,1:31.581,1:31.254,,12
14,9,Mark WebberWEB,Williams Cosworth,1:31.647,1:31.276,,11
15,20,Vitantonio LiuzziLIU,STR Cosworth,1:31.741,1:31.943,,14
16,19,Christijan AlbersALB,MF1 Toyota,1:32.221,1:33.750,,13
17,14,David CoulthardCOU,RBR Ferrari,1:32.252,,,6
18,15,Robert DoornbosDOO,RBR Ferrari,1:32.402,,,7
19,21,Scott SpeedSPE,STR Cosworth,1:32.867,,,7
20,22,Takuma SatoSAT,Super Aguri Honda,1:33.666,,,6
21,18,Tiago MonteiroMON,MF1 Toyota,1:33.709,,,3
22,23,Sakon YamamotoYAM,Super Aguri Honda,DNF,,,2
