Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,5,Michael SchumacherMSC,Ferrari,1:24.598,1:22.579,1:22.795,22
2,12,Jenson ButtonBUT,Honda,1:24.480,1:23.749,1:22.988,20
3,11,Rubens BarrichelloBAR,Honda,1:24.727,1:23.760,1:23.242,20
4,6,Felipe MassaMAS,Ferrari,1:24.884,1:23.595,1:23.702,22
5,1,Fernando AlonsoALO,Renault,1:23.536,1:23.743,1:23.709,21
6,7,Ralf SchumacherRSC,Toyota,1:24.370,1:23.565,1:23.772,26
7,4,Juan Pablo MontoyaMOY,McLaren Mercedes,1:24.960,1:23.760,1:24.021,24
8,3,Kimi RäikkönenRAI,McLaren Mercedes,1:24.259,1:23.190,1:24.158,21
9,8,Jarno TrulliTRU,Toyota,1:24.446,1:23.727,1:24.172,27
10,9,Mark WebberWEB,Williams Cosworth,1:24.992,1:23.718,1:24.795,21
11,2,Giancarlo FisichellaFIS,Renault,1:24.434,1:23.771,,6
12,17,Jacques VilleneuveVIL,Sauber BMW,1:25.081,1:23.887,,9
13,10,Nico RosbergROS,Williams Cosworth,1:24.495,1:23.966,,9
14,14,David CoulthardCOU,RBR Ferrari,1:24.849,1:24.101,,12
15,16,Nick HeidfeldHEI,Sauber BMW,1:25.410,1:24.129,,10
16,20,Vitantonio LiuzziLIU,STR Cosworth,1:24.879,1:24.520,,16
17,15,Christian KlienKLI,RBR Ferrari,1:25.410,,,6
18,21,Scott SpeedSPE,STR Cosworth,1:25.437,,,8
19,18,Tiago MonteiroMON,MF1 Toyota,1:26.820,,,6
20,19,Christijan AlbersALB,MF1 Toyota,1:27.088,,,6
21,22,Takuma SatoSAT,Super Aguri Honda,1:27.609,,,6
22,23,Yuji IdeIDE,Super Aguri Honda,1:29.282,,,8
