Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Fernando AlonsoALO,Renault,1:21.018,1:20.271,1:20.253,24
2,3,Kimi RäikkönenRAI,McLaren Mercedes,1:21.648,1:20.497,1:20.397,24
3,5,Michael SchumacherMSC,Ferrari,1:22.096,1:20.659,1:20.574,22
4,6,Felipe MassaMAS,Ferrari,1:21.647,1:20.846,1:20.764,21
5,2,Giancarlo FisichellaFIS,Renault,1:22.411,1:20.594,1:20.919,21
6,11,Rubens BarrichelloBAR,Honda,1:22.965,1:20.929,1:20.943,24
7,7,Ralf SchumacherRSC,Toyota,1:22.886,1:21.043,1:21.073,28
8,4,Juan Pablo MontoyaMOY,McLaren Mercedes,1:22.169,1:20.816,1:21.107,23
9,16,Nick HeidfeldHEI,Sauber BMW,1:21.670,1:20.629,1:21.329,28
10,17,Jacques VilleneuveVIL,Sauber BMW,1:21.637,1:20.672,1:21.599,21
11,14,David CoulthardCOU,RBR Ferrari,1:22.424,1:21.442,,12
12,10,Nico RosbergROS,Williams Cosworth,1:23.083,1:21.567,,9
13,20,Vitantonio LiuzziLIU,STR Cosworth,1:22.685,1:21.699,,13
14,15,Christian KlienKLI,RBR Ferrari,1:22.773,1:21.990,,12
15,21,Scott SpeedSPE,STR Cosworth,1:22.541,1:22.076,,11
16,18,Tiago MonteiroMON,MF1 Toyota,1:22.860,1:22.207,,10
17,9,Mark WebberWEB,Williams Cosworth,1:23.129,,,3
18,19,Christijan AlbersALB,MF1 Toyota,1:23.210,,,7
19,12,Jenson ButtonBUT,Honda,1:23.247,,,3
20,22,Takuma SatoSAT,Super Aguri Honda,1:26.158,,,6
21,23,Franck MontagnyMON,Super Aguri Honda,1:26.316,,,6
22,8,Jarno TrulliTRU,Toyota,DNF,,,2
