Pos,No,Driver,Car,Time,Gap,Laps
1,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:50.491,,4
2,19,Felipe MassaMAS,Williams Mercedes,1:52.086,+1.595s,7
3,18,Lance StrollSTR,Williams Mercedes,1:52.507,+2.016s,7
4,55,Carlos SainzSAI,Toro Rosso,1:52.840,+2.349s,5
5,8,Romain GrosjeanGRO,Haas Ferrari,1:53.039,+2.548s,6
6,26,Daniil KvyatKVY,Toro Rosso,1:53.314,+2.823s,4
7,14,Fernando AlonsoALO,McLaren Honda,1:53.520,+3.029s,5
8,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:54.038,+3.547s,7
9,77,Valtteri BottasBOT,Mercedes,1:54.664,+4.173s,4
10,20,Kevin MagnussenMAG,Haas Ferrari,1:55.104,+4.613s,8
11,27,Nico HulkenbergHUL,Renault,1:55.608,+5.117s,6
12,2,Stoffel VandoorneVAN,McLaren Honda,1:57.445,+6.954s,4
13,9,Marcus EricssonERI,Sauber Ferrari,2:15.138,+24.647s,4
14,36,Antonio GiovinazziGIO,Sauber Ferrari,2:15.281,+24.790s,4
15,30,Jolyon PalmerPAL,Renault,,,3
16,5,Sebastian VettelVET,Ferrari,,,2
17,7,Kimi RäikkönenRAI,Ferrari,,,1
18,31,Esteban OconOCO,Force India Mercedes,,,2
19,11,Sergio PerezPER,Force India Mercedes,,,3
20,44,Lewis HamiltonHAM,Mercedes,,,2
