Pos,No,Driver,Car,Time,Gap,Laps
1,3,Daniel RicciardoRIC,Red Bull Racing TAG Heuer,1:18.486,,31
2,7,Kimi RäikkönenRAI,Ferrari,1:18.720,+0.234s,20
3,44,Lewis HamiltonHAM,Mercedes,1:18.858,+0.372s,31
4,33,Max VerstappenVER,Red Bull Racing TAG Heuer,1:19.162,+0.676s,27
5,77,Valtteri BottasBOT,Mercedes,1:19.248,+0.762s,30
6,5,Sebastian VettelVET,Ferrari,1:19.563,+1.077s,21
7,14,Fernando AlonsoALO,McLaren Honda,1:19.987,+1.501s,21
8,2,Stoffel VandoorneVAN,McLaren Honda,1:20.005,+1.519s,24
9,27,Nico HulkenbergHUL,Renault,1:20.150,+1.664s,25
10,30,Jolyon PalmerPAL,Renault,1:20.461,+1.975s,27
11,19,Felipe MassaMAS,Williams Mercedes,1:20.540,+2.054s,28
12,11,Sergio PerezPER,Force India Mercedes,1:20.574,+2.088s,23
13,26,Daniil KvyatKVY,Toro Rosso,1:20.780,+2.294s,27
14,55,Carlos SainzSAI,Toro Rosso,1:20.917,+2.431s,25
15,18,Lance StrollSTR,Williams Mercedes,1:20.974,+2.488s,29
16,8,Romain GrosjeanGRO,Haas Ferrari,1:21.313,+2.827s,20
17,34,Alfonso CelisCEL,Force India Mercedes,1:21.602,+3.116s,24
18,9,Marcus EricssonERI,Sauber Ferrari,1:21.785,+3.299s,31
19,50,Antonio GiovinazziGIO,Haas Ferrari,1:22.251,+3.765s,8
20,94,Pascal WehrleinWEH,Sauber Ferrari,1:22.490,+4.004s,29
