Pos,No,Driver,Car,Laps,Time/retired,Pts
1,27,Jean AlesiALE,Ferrari,69,1:46:31.333,10
2,14,Rubens BarrichelloBAR,Jordan Peugeot,69,+31.687s,6
3,15,Eddie IrvineIRV,Jordan Peugeot,69,+33.270s,4
4,26,Olivier PanisPAN,Ligier Mugen Honda,69,+36.506s,3
5,1,Michael SchumacherMSC,Benetton Renault,69,+37.060s,2
6,9,Gianni MorbidelliMOR,Footwork Hart,68,+1 lap,1
7,24,Luca BadoerBAD,Minardi Ford,68,+1 lap,0
8,4,Mika SaloSAL,Tyrrell Yamaha,68,+1 lap,0
9,10,Taki InoueINO,Footwork Hart,67,+2 laps,0
NC,25,Martin BrundleBRU,Ligier Mugen Honda,61,DNF,0
NC,28,Gerhard BergerBER,Ferrari,61,DNF,0
NC,23,Pierluigi MartiniMAR,Minardi Ford,60,DNF,0
NC,22,Roberto MorenoMOR,Forti Ford,54,DNF,0
NC,5,Damon HillHIL,Williams Renault,50,DNF,0
NC,7,Mark BlundellBLU,McLaren Mercedes,47,DNF,0
NC,3,Ukyo KatayamaKAT,Tyrrell Yamaha,42,DNF,0
NC,16,Bertrand GachotGAC,Pacific Ilmor,36,DNF,0
NC,30,Heinz-Harald FrentzenFRE,Sauber Ford,26,DNF,0
NC,21,Pedro DinizDIN,Forti Ford,26,DNF,0
NC,29,Jean-Christophe BoullionBOU,Sauber Ford,19,DNF,0
NC,17,Andrea MonterminiMON,Pacific Ilmor,5,DNF,0
NC,6,David CoulthardCOU,Williams Renault,1,DNF,0
NC,2,Johnny HerbertHER,Benetton Renault,0,DNF,0
NC,8,Mika HakkinenHAK,McLaren Mercedes,0,DNF,0
