Pos,No,Driver,Car,Laps,Time/retired,Pts
1,14,John SurteesSUR,Honda,68,1:43:45.000,9
2,16,Jack BrabhamBRA,Brabham Repco,68,+0.200s,6
3,20,Jim ClarkCLA,Lotus Ford,68,+23.100s,4
4,30,Jochen RindtRIN,Cooper Maserati,68,+56.600s,3
5,36,Mike SpenceSPE,BRM,67,+1 lap,2
6,32,Jacky IckxICK,Cooper Maserati,66,+2 laps,1
7,2,Chris AmonAMO,Ferrari,64,+4 laps,0
NC,22,Graham HillHIL,Lotus Ford,58,DNF,0
NC,24,Giancarlo BaghettiBAG,Lotus Ford,50,DNF,0
NC,6,Jo SiffertSIF,Cooper Maserati,50,DNF,0
NC,4,Bruce McLarenMCL,McLaren BRM,46,DNF,0
NC,26,Jo BonnierBON,Cooper Maserati,46,DNF,0
NC,34,Jackie StewartSTE,BRM,45,DNF,0
NC,18,Denny HulmeHUL,Brabham Repco,30,DNF,0
NC,12,Guy  Ligier LIG,Brabham Repco,26,DNF,0
NC,38,Chris   IrwinIRW,BRM,16,DNF,0
NC,10,Ludovico ScarfiottiSCA,Eagle Weslake,5,DNF,0
NC,8,Dan GurneyGUR,Eagle Weslake,4,DNF,0
