Pos,No,Driver,Car,Time,Gap,Laps
1,8,Mika HakkinenHAK,McLaren Mercedes,1:19.689,,26
2,5,Giancarlo FisichellaFIS,Benetton Playlife,1:20.325,+0.636s,34
3,1,Jacques VilleneuveVIL,Williams Mecachrome,1:20.326,+0.637s,35
4,3,Michael SchumacherMSC,Ferrari,1:20.461,+0.772s,32
5,7,David CoulthardCOU,McLaren Mercedes,1:20.577,+0.888s,28
6,4,Eddie IrvineIRV,Ferrari,1:20.841,+1.152s,33
7,6,Alexander WurzWUR,Benetton Playlife,1:21.014,+1.325s,37
8,2,Heinz-Harald FrentzenFRE,Williams Mecachrome,1:21.174,+1.485s,35
9,10,Ralf SchumacherRSC,Jordan Mugen Honda,1:21.351,+1.662s,22
10,11,Olivier PanisPAN,Prost Peugeot,1:21.391,+1.702s,44
11,18,Rubens BarrichelloBAR,Stewart Ford,1:21.538,+1.849s,28
12,9,Damon HillHIL,Jordan Mugen Honda,1:21.738,+2.049s,41
13,12,Jarno TrulliTRU,Prost Peugeot,1:21.764,+2.075s,47
14,14,Jean AlesiALE,Sauber Petronas,1:21.952,+2.263s,38
15,16,Pedro DinizDIN,Arrows,1:22.485,+2.796s,41
16,19,Jos VerstappenVER,Stewart Ford,1:22.566,+2.877s,25
17,15,Johnny HerbertHER,Sauber Petronas,1:22.603,+2.914s,31
18,21,Toranosuke TakagiTAK,Tyrrell Ford,1:22.792,+3.103s,35
19,22,Shinji NakanoNAK,Minardi Ford,1:22.967,+3.278s,39
20,23,Esteban TueroTUE,Minardi Ford,1:23.331,+3.642s,43
21,20,Ricardo RossetROS,Tyrrell Ford,1:23.644,+3.955s,27
22,17,Mika SaloSAL,Arrows,1:24.004,+4.315s,25
