Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,52,17:21:12,1:30.510,234.312
2,55,Carlos SainzSAI,Ferrari,44,17:08:55,1:30.813,233.530
3,11,Sergio PerezPER,Red Bull Racing RBPT,47,17:13:33,1:30.937,233.212
4,16,Charles LeclercLEC,Ferrari,52,17:21:14,1:31.282,232.330
5,14,Fernando AlonsoALO,Alpine Renault,47,17:13:35,1:31.609,231.501
6,4,Lando NorrisNOR,McLaren Mercedes,47,17:13:36,1:31.645,231.410
7,47,Mick SchumacherMSC,Haas Ferrari,48,17:15:13,1:32.109,230.244
8,1,Max VerstappenVER,Red Bull Racing RBPT,44,17:09:02,1:32.354,229.633
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,52,17:21:32,1:32.379,229.571
10,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,52,17:21:28,1:32.471,229.343
11,3,Daniel RicciardoRIC,McLaren Mercedes,34,16:51:26,1:32.644,228.914
12,20,Kevin MagnussenMAG,Haas Ferrari,52,17:21:30,1:32.661,228.872
13,6,Nicholas LatifiLAT,Williams Mercedes,48,17:15:20,1:33.286,227.339
14,31,Esteban OconOCO,Alpine Renault,37,16:55:37,1:33.537,226.729
15,22,Yuki TsunodaTSU,AlphaTauri RBPT,51,17:20:13,1:33.832,226.016
16,10,Pierre GaslyGAS,AlphaTauri RBPT,18,16:25:51,1:34.614,224.148
17,77,Valtteri BottasBOT,Alfa Romeo Ferrari,19,16:26:59,1:35.103,222.996
