Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,44,Lewis HamiltonHAM,Mercedes,57,16:24:16,1:21.386,193.787
2,16,Charles LeclercLEC,Ferrari,57,16:24:32,1:21.622,193.227
3,11,Sergio PerezPER,Red Bull Racing RBPT,44,16:06:30,1:21.940,192.477
4,55,Carlos SainzSAI,Ferrari,51,16:15:54,1:22.000,192.336
5,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,58,16:27:27,1:22.029,192.268
6,1,Max VerstappenVER,Red Bull Racing RBPT,45,16:07:26,1:22.126,192.041
7,18,Lance StrollSTR,Aston Martin Aramco Mercedes,51,16:17:04,1:22.437,191.317
8,6,Nicholas LatifiLAT,Williams Mercedes,60,16:30:47,1:22.478,191.221
9,63,George RussellRUS,Mercedes,57,16:24:09,1:22.766,190.556
10,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,51,16:17:09,1:22.824,190.423
11,4,Lando NorrisNOR,McLaren Mercedes,47,16:11:00,1:23.043,189.920
12,23,Alexander AlbonALB,Williams Mercedes,43,16:06:22,1:23.047,189.911
13,47,Mick SchumacherMSC,Haas Ferrari,50,16:15:58,1:23.151,189.674
14,10,Pierre GaslyGAS,AlphaTauri RBPT,58,16:27:03,1:23.199,189.564
15,20,Kevin MagnussenMAG,Haas Ferrari,37,15:57:44,1:23.511,188.856
16,22,Yuki TsunodaTSU,AlphaTauri RBPT,58,16:28:17,1:23.538,188.795
17,3,Daniel RicciardoRIC,McLaren Mercedes,63,16:34:10,1:23.654,188.533
18,14,Fernando AlonsoALO,Alpine Renault,47,16:11:06,1:23.979,187.804
19,77,Valtteri BottasBOT,Alfa Romeo Ferrari,60,16:29:36,1:24.002,187.752
20,31,Esteban OconOCO,Alpine Renault,60,16:29:29,1:24.149,187.424
