Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,63,George RussellRUS,Mercedes,61,16:28:58,1:13.785,210.237
2,44,Lewis HamiltonHAM,Mercedes,63,16:31:27,1:13.942,209.791
3,55,Carlos SainzSAI,Ferrari,65,16:33:58,1:13.953,209.760
4,14,Fernando AlonsoALO,Alpine Renault,62,16:30:18,1:14.164,209.163
5,1,Max VerstappenVER,Red Bull Racing RBPT,64,16:32:49,1:14.195,209.076
6,16,Charles LeclercLEC,Ferrari,63,16:31:31,1:14.253,208.912
7,11,Sergio PerezPER,Red Bull Racing RBPT,62,16:30:16,1:14.283,208.828
8,18,Lance StrollSTR,Aston Martin Aramco Mercedes,50,16:11:50,1:14.831,207.299
9,31,Esteban OconOCO,Alpine Renault,65,16:34:07,1:15.093,206.575
10,47,Mick SchumacherMSC,Haas Ferrari,63,16:31:41,1:15.251,206.142
11,6,Nicholas LatifiLAT,Williams Mercedes,59,16:26:45,1:15.327,205.934
12,10,Pierre GaslyGAS,AlphaTauri RBPT,64,16:32:57,1:15.327,205.934
13,22,Yuki TsunodaTSU,AlphaTauri RBPT,63,16:33:00,1:15.508,205.440
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,62,16:30:21,1:15.511,205.432
15,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,64,16:32:54,1:15.549,205.328
16,23,Alexander AlbonALB,Williams Mercedes,49,16:10:47,1:15.613,205.155
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,64,16:32:56,1:15.802,204.643
18,4,Lando NorrisNOR,McLaren Mercedes,48,16:09:10,1:15.855,204.500
