Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,1,Max VerstappenVER,Red Bull Racing RBPT,55,16:24:32,1:18.446,225.281
2,16,Charles LeclercLEC,Ferrari,63,16:36:07,1:18.574,224.914
3,11,Sergio PerezPER,Red Bull Racing RBPT,52,16:20:46,1:18.949,223.845
4,47,Mick SchumacherMSC,Haas Ferrari,55,16:26:33,1:18.999,223.704
5,22,Yuki TsunodaTSU,AlphaTauri RBPT,61,16:33:29,1:20.544,219.412
6,77,Valtteri BottasBOT,Alfa Romeo Ferrari,43,16:08:51,1:20.758,218.831
7,4,Lando NorrisNOR,McLaren Mercedes,61,16:33:03,1:20.903,218.439
8,63,George RussellRUS,Mercedes,57,16:27:45,1:20.962,218.280
9,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,47,16:14:34,1:21.211,217.610
10,20,Kevin MagnussenMAG,Haas Ferrari,61,16:33:43,1:21.238,217.538
11,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,61,16:34:13,1:21.286,217.410
12,6,Nicholas LatifiLAT,Williams Mercedes,62,16:35:37,1:21.338,217.271
13,44,Lewis HamiltonHAM,Mercedes,50,16:19:00,1:21.419,217.054
14,3,Daniel RicciardoRIC,McLaren Mercedes,61,16:34:47,1:21.577,216.634
15,10,Pierre GaslyGAS,AlphaTauri RBPT,34,15:57:05,1:21.713,216.274
16,18,Lance StrollSTR,Aston Martin Aramco Mercedes,46,16:13:27,1:21.750,216.176
17,23,Alexander AlbonALB,Williams Mercedes,61,16:34:02,1:21.757,216.157
18,31,Esteban OconOCO,Alpine Renault,37,16:01:09,1:21.887,215.814
19,14,Fernando AlonsoALO,Alpine Renault,5,15:13:47,1:39.685,177.282
