Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,4,Lando NorrisNOR,McLaren Mercedes,44,18:10:55,1:28.391,215.085
2,63,George RussellRUS,Mercedes,48,18:16:32,1:28.836,214.007
3,55,Carlos SainzSAI,Ferrari,50,18:19:24,1:28.879,213.904
4,11,Sergio PerezPER,Red Bull Racing RBPT,52,18:22:10,1:28.972,213.680
5,31,Esteban OconOCO,Alpine Renault,45,18:12:29,1:29.333,212.817
6,1,Max VerstappenVER,Red Bull Racing RBPT,54,18:24:57,1:29.392,212.676
7,22,Yuki TsunodaTSU,AlphaTauri RBPT,40,18:05:11,1:29.489,212.446
8,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,53,18:25:10,1:29.600,212.183
9,18,Lance StrollSTR,Aston Martin Aramco Mercedes,42,18:08:04,1:29.620,212.135
10,16,Charles LeclercLEC,Ferrari,48,18:16:06,1:29.719,211.901
11,44,Lewis HamiltonHAM,Mercedes,42,18:07:14,1:29.788,211.738
12,47,Mick SchumacherMSC,Haas Ferrari,39,18:04:00,1:29.833,211.632
13,23,Alexander AlbonALB,Williams Mercedes,40,18:05:15,1:29.939,211.383
14,6,Nicholas LatifiLAT,Williams Mercedes,45,18:13:51,1:30.309,210.517
15,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,35,17:57:27,1:30.312,210.510
16,77,Valtteri BottasBOT,Alfa Romeo Ferrari,47,18:16:12,1:30.352,210.417
17,14,Fernando AlonsoALO,Alpine Renault,24,17:40:29,1:30.579,209.889
18,3,Daniel RicciardoRIC,McLaren Mercedes,45,18:12:34,1:30.785,209.413
19,10,Pierre GaslyGAS,AlphaTauri RBPT,16,17:28:27,1:31.081,208.732
20,20,Kevin MagnussenMAG,Haas Ferrari,40,18:05:40,1:31.158,208.556
