Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,4,Lando NorrisNOR,McLaren Mercedes,55,17:50:21,1:14.693,160.834
2,22,Yuki TsunodaTSU,AlphaTauri RBPT,61,17:59:29,1:15.334,159.465
3,14,Fernando AlonsoALO,Alpine Renault,50,17:44:03,1:15.882,158.314
4,11,Sergio PerezPER,Red Bull Racing RBPT,46,17:38:05,1:16.028,158.010
5,1,Max VerstappenVER,Red Bull Racing RBPT,47,17:39:26,1:16.052,157.960
6,16,Charles LeclercLEC,Ferrari,46,17:38:11,1:16.249,157.552
7,55,Carlos SainzSAI,Ferrari,47,17:39:24,1:16.421,157.197
8,63,George RussellRUS,Mercedes,42,17:33:07,1:16.830,156.360
9,44,Lewis HamiltonHAM,Mercedes,51,17:45:23,1:17.203,155.605
10,10,Pierre GaslyGAS,AlphaTauri RBPT,61,17:58:30,1:17.344,155.321
11,3,Daniel RicciardoRIC,McLaren Mercedes,59,17:55:57,1:17.532,154.945
12,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,54,17:49:23,1:17.558,154.893
13,31,Esteban OconOCO,Alpine Renault,50,17:44:08,1:17.571,154.867
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,57,17:53:15,1:17.600,154.809
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,56,17:52:05,1:17.672,154.665
16,23,Alexander AlbonALB,Williams Mercedes,40,17:31:11,1:18.023,153.969
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,52,17:47:01,1:18.200,153.621
18,6,Nicholas LatifiLAT,Williams Mercedes,43,17:35:05,1:18.579,152.880
19,47,Mick SchumacherMSC,Haas Ferrari,24,16:46:27,1:24.778,141.701
20,20,Kevin MagnussenMAG,Haas Ferrari,18,16:36:37,1:33.754,128.135
