Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,20,16:52:17,1:44.411,200.220
2,14,Fernando AlonsoALO,Alpine Renault,25,17:00:46,1:44.412,200.218
3,16,Charles LeclercLEC,Ferrari,10,16:33:12,1:44.489,200.070
4,1,Max VerstappenVER,Red Bull Racing RBPT,10,16:33:08,1:44.911,199.266
5,18,Lance StrollSTR,Aston Martin Aramco Mercedes,21,16:53:56,1:45.205,198.709
6,10,Pierre GaslyGAS,AlphaTauri RBPT,22,16:55:53,1:45.387,198.366
7,44,Lewis HamiltonHAM,Mercedes,11,16:35:12,1:45.530,198.097
8,22,Yuki TsunodaTSU,AlphaTauri RBPT,22,16:55:48,1:45.893,197.418
9,11,Sergio PerezPER,Red Bull Racing RBPT,11,16:35:06,1:46.120,196.995
10,47,Mick SchumacherMSC,Haas Ferrari,13,16:39:23,1:46.545,196.210
11,31,Esteban OconOCO,Alpine Renault,11,16:35:11,1:46.559,196.184
12,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,13,16:38:52,1:46.964,195.441
13,63,George RussellRUS,Mercedes,21,16:53:29,1:47.004,195.368
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,11,16:35:30,1:47.820,193.889
15,3,Daniel RicciardoRIC,McLaren Mercedes,11,16:35:28,1:47.843,193.848
16,20,Kevin MagnussenMAG,Haas Ferrari,10,16:33:41,1:48.072,193.437
17,4,Lando NorrisNOR,McLaren Mercedes,8,16:29:54,1:48.175,193.253
18,6,Nicholas LatifiLAT,Williams Mercedes,12,16:37:09,1:48.371,192.904
