Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,55,Carlos SainzSAI,Ferrari,51,16:30:58,1:35.781,219.575
2,1,Max VerstappenVER,Red Bull Racing RBPT,30,15:55:33,1:37.491,215.724
3,63,George RussellRUS,Mercedes,51,16:30:42,1:37.548,215.598
4,44,Lewis HamiltonHAM,Mercedes,30,15:55:37,1:37.668,215.333
5,11,Sergio PerezPER,Red Bull Racing RBPT,45,16:20:19,1:37.780,215.086
6,77,Valtteri BottasBOT,Alfa Romeo Ferrari,52,16:33:20,1:37.963,214.685
7,16,Charles LeclercLEC,Ferrari,4,15:10:18,1:38.088,214.411
8,14,Fernando AlonsoALO,Alpine Renault,53,16:34:25,1:38.160,214.254
9,31,Esteban OconOCO,Alpine Renault,53,16:34:39,1:38.684,213.116
10,10,Pierre GaslyGAS,AlphaTauri RBPT,53,16:34:48,1:38.786,212.896
11,4,Lando NorrisNOR,McLaren Mercedes,43,16:17:27,1:39.037,212.356
12,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,43,16:17:38,1:39.044,212.341
13,47,Mick SchumacherMSC,Haas Ferrari,48,16:26:11,1:39.068,212.290
14,3,Daniel RicciardoRIC,McLaren Mercedes,27,15:50:57,1:39.133,212.151
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,52,16:33:04,1:39.185,212.040
16,23,Alexander AlbonALB,Williams Mercedes,53,16:34:51,1:39.199,212.010
17,20,Kevin MagnussenMAG,Haas Ferrari,11,15:22:45,1:39.265,211.869
18,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,25,15:48:37,1:39.368,211.649
19,6,Nicholas LatifiLAT,Williams Mercedes,40,16:13:35,1:39.650,211.050
20,22,Yuki TsunodaTSU,AlphaTauri RBPT,4,15:10:44,1:40.216,209.858
