Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,1,Max VerstappenVER,Red Bull Racing RBPT,62,16:17:22,1:07.275,231.063
2,16,Charles LeclercLEC,Ferrari,62,16:17:19,1:07.583,230.010
3,14,Fernando AlonsoALO,Alpine Renault,62,16:18:42,1:08.558,226.739
4,55,Carlos SainzSAI,Ferrari,55,16:08:29,1:08.649,226.438
5,44,Lewis HamiltonHAM,Mercedes,63,16:19:02,1:09.000,225.286
6,63,George RussellRUS,Mercedes,61,16:17:00,1:09.075,225.042
7,77,Valtteri BottasBOT,Alfa Romeo Ferrari,61,16:17:25,1:09.266,224.421
8,4,Lando NorrisNOR,McLaren Mercedes,62,16:18:21,1:09.304,224.298
9,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,50,16:04:04,1:09.380,224.053
10,31,Esteban OconOCO,Alpine Renault,62,16:18:10,1:09.559,223.476
11,47,Mick SchumacherMSC,Haas Ferrari,50,16:03:34,1:09.625,223.264
12,23,Alexander AlbonALB,Williams Mercedes,60,16:16:14,1:09.669,223.123
13,3,Daniel RicciardoRIC,McLaren Mercedes,61,16:17:17,1:09.924,222.309
14,20,Kevin MagnussenMAG,Haas Ferrari,61,16:17:11,1:09.938,222.265
15,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,62,16:18:51,1:10.001,222.065
16,22,Yuki TsunodaTSU,AlphaTauri RBPT,62,16:18:50,1:10.023,221.995
17,18,Lance StrollSTR,Aston Martin Aramco Mercedes,64,16:21:05,1:10.048,221.916
18,10,Pierre GaslyGAS,AlphaTauri RBPT,61,16:17:33,1:10.104,221.739
19,6,Nicholas LatifiLAT,Williams Mercedes,14,15:20:33,1:10.890,219.280
20,11,Sergio PerezPER,Red Bull Racing RBPT,5,15:10:13,1:11.843,216.371
