Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,1,Max VerstappenVER,Red Bull Racing RBPT,62,16:27:18,1:13.652,208.173
2,63,George RussellRUS,Mercedes,72,16:39:43,1:13.671,208.119
3,44,Lewis HamiltonHAM,Mercedes,54,16:13:20,1:13.854,207.604
4,14,Fernando AlonsoALO,Alpine Renault,51,16:10:16,1:14.144,206.792
5,11,Sergio PerezPER,Red Bull Racing RBPT,63,16:28:38,1:14.404,206.069
6,16,Charles LeclercLEC,Ferrari,62,16:27:22,1:14.413,206.044
7,55,Carlos SainzSAI,Ferrari,63,16:28:38,1:14.643,205.409
8,4,Lando NorrisNOR,McLaren Mercedes,63,16:28:40,1:14.706,205.236
9,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,50,16:10:00,1:14.862,204.808
10,18,Lance StrollSTR,Aston Martin Aramco Mercedes,65,16:31:12,1:15.043,204.314
11,31,Esteban OconOCO,Alpine Renault,64,16:29:57,1:15.084,204.203
12,10,Pierre GaslyGAS,AlphaTauri RBPT,65,16:31:13,1:15.165,203.983
13,47,Mick SchumacherMSC,Haas Ferrari,51,16:11:13,1:15.233,203.798
14,20,Kevin MagnussenMAG,Haas Ferrari,53,16:13:50,1:15.369,203.431
15,23,Alexander AlbonALB,Williams Mercedes,65,16:31:16,1:15.534,202.986
16,3,Daniel RicciardoRIC,McLaren Mercedes,52,16:12:36,1:15.577,202.871
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,63,16:28:48,1:15.940,201.901
18,6,Nicholas LatifiLAT,Williams Mercedes,62,16:28:51,1:16.066,201.567
19,77,Valtteri BottasBOT,Alfa Romeo Ferrari,51,16:11:00,1:16.844,199.526
20,22,Yuki TsunodaTSU,AlphaTauri RBPT,16,15:24:18,1:17.138,198.765
