Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,1,Max VerstappenVER,Red Bull Racing RBPT,54,17:03:04,1:31.361,213.255
2,16,Charles LeclercLEC,Ferrari,53,17:01:34,1:31.488,212.959
3,55,Carlos SainzSAI,Ferrari,56,17:06:15,1:31.790,212.258
4,11,Sergio PerezPER,Red Bull Racing RBPT,54,17:03:13,1:31.819,212.191
5,63,George RussellRUS,Mercedes,56,17:06:25,1:32.195,211.325
6,47,Mick SchumacherMSC,Haas Ferrari,57,17:08:53,1:32.528,210.565
7,44,Lewis HamiltonHAM,Mercedes,55,17:04:54,1:32.941,209.629
8,22,Yuki TsunodaTSU,AlphaTauri RBPT,55,17:05:11,1:33.035,209.417
9,31,Esteban OconOCO,Alpine Renault,56,17:06:34,1:33.163,209.130
10,77,Valtteri BottasBOT,Alfa Romeo Ferrari,56,17:06:31,1:33.184,209.083
11,3,Daniel RicciardoRIC,McLaren Mercedes,56,17:06:42,1:33.265,208.901
12,18,Lance StrollSTR,Aston Martin Aramco Mercedes,52,17:00:23,1:33.312,208.796
13,14,Fernando AlonsoALO,Alpine Renault,53,17:01:52,1:33.331,208.753
14,4,Lando NorrisNOR,McLaren Mercedes,37,16:32:36,1:33.411,208.575
15,23,Alexander AlbonALB,Williams Mercedes,57,17:08:12,1:33.447,208.494
16,5,Sebastian VettelVET,Aston Martin Aramco Mercedes,50,16:57:12,1:33.479,208.423
17,20,Kevin MagnussenMAG,Haas Ferrari,52,17:00:23,1:33.511,208.351
18,6,Nicholas LatifiLAT,Williams Mercedes,53,17:02:09,1:34.169,206.896
19,10,Pierre GaslyGAS,AlphaTauri RBPT,38,16:34:03,1:34.487,206.199
20,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,4,15:39:50,1:35.731,203.520
