Pos,No,Driver,Car,Time,Gap,Laps
1,27,Jean AlesiALE,Ferrari,1:44.354,,20
2,2,David CoulthardCOU,Williams Renault,1:44.580,+0.226s,23
3,0,Damon HillHIL,Williams Renault,1:45.006,+0.652s,21
4,28,Gerhard BergerBER,Ferrari,1:45.070,+0.716s,19
5,5,Michael SchumacherMSC,Benetton Ford,1:45.740,+1.386s,22
6,3,Ukyo KatayamaKAT,Tyrrell Yamaha,1:45.884,+1.530s,21
7,14,Rubens BarrichelloBAR,Jordan Hart,1:45.970,+1.616s,14
8,8,Martin BrundleBRU,McLaren Peugeot,1:46.452,+2.098s,23
9,7,Mika HakkinenHAK,McLaren Peugeot,1:46.557,+2.203s,22
10,4,Mark BlundellBLU,Tyrrell Yamaha,1:46.657,+2.303s,16
11,15,Eddie IrvineIRV,Jordan Hart,1:46.664,+2.310s,20
12,30,Heinz-Harald FrentzenFRE,Sauber Mercedes,1:46.894,+2.540s,21
13,26,Olivier PanisPAN,Ligier Renault,1:46.928,+2.574s,21
14,12,Johnny HerbertHER,Lotus Mugen Honda,1:47.351,+2.997s,17
15,9,Christian FittipaldiFIT,Footwork Ford,1:47.488,+3.134s,17
16,6,Jos VerstappenVER,Benetton Ford,1:47.520,+3.166s,19
17,25,Eric BernardBER,Ligier Renault,1:47.605,+3.251s,23
18,23,Pierluigi MartiniMAR,Minardi Ford,1:47.751,+3.397s,23
19,11,Alessandro ZanardiZAN,Lotus Mugen Honda,1:48.074,+3.720s,22
20,20,Erik ComasCOM,Larrousse Ford,1:48.792,+4.438s,21
21,24,Michele AlboretoALB,Minardi Ford,1:49.034,+4.680s,21
22,10,Gianni MorbidelliMOR,Footwork Ford,1:49.372,+5.018s,3
23,19,Olivier BerettaBER,Larrousse Ford,1:49.528,+5.174s,22
24,32,Jean-Marc GounonGOU,Simtek Ford,1:49.531,+5.177s,18
25,29,Andrea de CesarisDEC,Sauber Mercedes,1:49.856,+5.502s,8
26,31,David BrabhamBRA,Simtek Ford,1:50.805,+6.451s,12
27,33,Paul BelmondoBEL,Pacific Ilmor,1:52.208,+7.854s,22
28,34,Bertrand GachotGAC,Pacific Ilmor,1:52.423,+8.069s,19
