Pos,No,Driver,Car,Lap,Time,Avg speed
1,5,Sebastian VettelVET,RBR Renault,67,1:15.824,217.166
2,8,Fernando AlonsoALO,Ferrari,66,1:15.880,217.005
3,7,Felipe MassaMAS,Ferrari,66,1:16.097,216.386
4,1,Jenson ButtonBUT,McLaren Mercedes,65,1:16.451,215.385
5,2,Lewis HamiltonHAM,McLaren Mercedes,65,1:16.503,215.238
6,22,Pedro de la RosaDLR,Sauber Ferrari,61,1:16.527,215.171
7,15,Vitantonio LiuzziLIU,Force India Mercedes,64,1:16.596,214.977
8,4,Nico RosbergROS,Mercedes,66,1:16.609,214.940
9,6,Mark WebberWEB,RBR Renault,57,1:16.678,214.747
10,14,Adrian SutilSUT,Force India Mercedes,65,1:16.687,214.722
11,10,Nico HulkenbergHUL,Williams Cosworth,61,1:16.836,214.305
12,17,Jaime AlguersuariALG,STR Ferrari,66,1:16.971,213.929
13,9,Rubens BarrichelloBAR,Williams Cosworth,63,1:17.029,213.768
14,3,Michael SchumacherMSC,Mercedes,66,1:17.088,213.605
15,23,Kamui KobayashiKOB,Sauber Ferrari,63,1:17.100,213.571
16,11,Robert KubicaKUB,Renault,62,1:17.166,213.389
17,12,Vitaly PetrovPET,Renault,62,1:17.198,213.300
18,24,Timo GlockGLO,Virgin Cosworth,62,1:18.211,210.538
19,19,Heikki KovalainenKOV,Lotus Cosworth,51,1:20.664,204.135
20,25,Lucas di GrassiDIG,Virgin Cosworth,49,1:20.703,204.037
21,21,Bruno SennaSEN,HRT Cosworth,57,1:20.861,203.638
22,20,Sakon YamamotoYAM,HRT Cosworth,16,1:23.541,197.105
23,18,Jarno TrulliTRU,Lotus Cosworth,2,2:14.452,122.470
