Pos,No,Driver,Car,Lap,Time,Avg speed
1,8,Fernando AlonsoALO,Ferrari,58,1:47.976,169.137
2,5,Sebastian VettelVET,RBR Renault,59,1:48.141,168.879
3,11,Robert KubicaKUB,Renault,56,1:49.255,167.157
4,3,Michael SchumacherMSC,Mercedes,54,1:49.680,166.509
5,6,Mark WebberWEB,RBR Renault,54,1:49.706,166.470
6,16,Sebastien BuemiBUE,STR Ferrari,59,1:49.710,166.464
7,1,Jenson ButtonBUT,McLaren Mercedes,61,1:49.711,166.462
8,4,Nico RosbergROS,Mercedes,55,1:50.125,165.837
9,9,Rubens BarrichelloBAR,Williams Cosworth,52,1:50.334,165.522
10,2,Lewis HamiltonHAM,McLaren Mercedes,31,1:50.750,164.901
11,12,Vitaly PetrovPET,Renault,46,1:51.903,163.202
12,7,Felipe MassaMAS,Ferrari,45,1:52.079,162.945
13,10,Nico HulkenbergHUL,Williams Cosworth,45,1:52.213,162.751
14,17,Jaime AlguersuariALG,STR Ferrari,43,1:52.333,162.577
15,14,Adrian SutilSUT,Force India Mercedes,45,1:52.473,162.374
16,22,Nick HeidfeldHEI,Sauber Ferrari,29,1:52.475,162.372
17,25,Lucas di GrassiDIG,Virgin Cosworth,55,1:52.513,162.317
18,19,Heikki KovalainenKOV,Lotus Cosworth,53,1:53.051,161.544
19,24,Timo GlockGLO,Virgin Cosworth,38,1:53.559,160.822
20,23,Kamui KobayashiKOB,Sauber Ferrari,22,1:53.957,160.260
21,18,Jarno TrulliTRU,Lotus Cosworth,20,1:56.386,156.915
22,20,Christian KlienKLI,HRT Cosworth,23,1:57.766,155.077
23,21,Bruno SennaSEN,HRT Cosworth,19,1:57.962,154.819
