Pos,No,Driver,Car,Lap,Time,Avg speed
1,8,Fernando AlonsoALO,Ferrari,45,1:58.287,191.706
2,14,Adrian SutilSUT,Force India Mercedes,49,1:59.393,189.930
3,6,Mark WebberWEB,RBR Renault,45,1:59.487,189.781
4,2,Lewis HamiltonHAM,McLaren Mercedes,42,1:59.560,189.665
5,7,Felipe MassaMAS,Ferrari,38,1:59.732,189.392
6,9,Rubens BarrichelloBAR,Williams Cosworth,47,1:59.833,189.233
7,15,Vitantonio LiuzziLIU,Force India Mercedes,39,1:59.906,189.118
8,17,Jaime AlguersuariALG,STR Ferrari,28,1:59.964,189.026
9,1,Jenson ButtonBUT,McLaren Mercedes,45,1:59.970,189.017
10,16,Sebastien BuemiBUE,STR Ferrari,41,2:00.080,188.844
11,3,Michael SchumacherMSC,Mercedes,45,2:00.204,188.649
12,5,Sebastian VettelVET,RBR Renault,32,2:00.218,188.627
13,4,Nico RosbergROS,Mercedes,45,2:00.236,188.599
14,11,Robert KubicaKUB,Renault,33,2:00.474,188.226
15,10,Nico HulkenbergHUL,Williams Cosworth,34,2:01.401,186.789
16,22,Pedro de la RosaDLR,Sauber Ferrari,27,2:01.650,186.406
17,19,Heikki KovalainenKOV,Lotus Cosworth,47,2:02.701,184.810
18,18,Jarno TrulliTRU,Lotus Cosworth,34,2:02.930,184.465
19,12,Vitaly PetrovPET,Renault,7,2:04.307,182.422
20,23,Kamui KobayashiKOB,Sauber Ferrari,4,2:05.044,181.347
21,24,Timo GlockGLO,Virgin Cosworth,11,2:07.062,178.467
22,21,Bruno SennaSEN,HRT Cosworth,14,2:09.127,175.613
23,25,Lucas di GrassiDIG,Virgin Cosworth,2,2:09.361,175.295
