Pos,No,Driver,Car,Lap,Time,Avg speed
1,5,Sebastian VettelVET,RBR Renault,71,1:15.192,159.910
2,6,Mark WebberWEB,RBR Renault,63,1:15.318,159.643
3,11,Robert KubicaKUB,Renault,72,1:15.353,159.568
4,7,Felipe MassaMAS,Ferrari,68,1:15.503,159.251
5,3,Michael SchumacherMSC,Mercedes,71,1:15.580,159.089
6,8,Fernando AlonsoALO,Ferrari,73,1:15.905,158.408
7,4,Nico RosbergROS,Mercedes,65,1:15.959,158.295
8,14,Adrian SutilSUT,Force India Mercedes,72,1:15.963,158.287
9,15,Vitantonio LiuzziLIU,Force India Mercedes,72,1:16.142,157.915
10,2,Lewis HamiltonHAM,McLaren Mercedes,68,1:16.219,157.755
11,17,Jaime AlguersuariALG,STR Ferrari,73,1:16.381,157.421
12,12,Vitaly PetrovPET,Renault,60,1:16.405,157.371
13,16,Sebastien BuemiBUE,STR Ferrari,68,1:16.493,157.190
14,19,Heikki KovalainenKOV,Lotus Cosworth,57,1:18.401,153.365
15,23,Kamui KobayashiKOB,Sauber Ferrari,24,1:18.775,152.637
16,9,Rubens BarrichelloBAR,Williams Cosworth,22,1:19.074,152.060
17,22,Pedro de la RosaDLR,Sauber Ferrari,21,1:19.270,151.684
18,18,Jarno TrulliTRU,Lotus Cosworth,69,1:19.340,151.550
19,20,Karun ChandhokCHD,HRT Cosworth,69,1:19.553,151.144
20,21,Bruno SennaSEN,HRT Cosworth,58,1:20.130,150.056
21,24,Timo GlockGLO,Virgin Cosworth,11,1:20.775,148.857
22,25,Lucas di GrassiDIG,Virgin Cosworth,19,1:22.255,146.179
23,1,Jenson ButtonBUT,McLaren Mercedes,2,2:14.285,89.540
