Pos,No,Driver,Car,Lap,Time,Avg speed
1,8,Fernando AlonsoALO,Ferrari,52,1:24.139,247.861
2,6,Mark WebberWEB,RBR Renault,52,1:24.278,247.452
3,4,Nico RosbergROS,Mercedes,52,1:24.491,246.828
4,5,Sebastian VettelVET,RBR Renault,50,1:24.493,246.822
5,11,Robert KubicaKUB,Renault,48,1:24.560,246.627
6,7,Felipe MassaMAS,Ferrari,51,1:24.575,246.583
7,10,Nico HulkenbergHUL,Williams Cosworth,52,1:24.576,246.580
8,1,Jenson ButtonBUT,McLaren Mercedes,46,1:24.598,246.516
9,12,Vitaly PetrovPET,Renault,53,1:24.644,246.382
10,14,Adrian SutilSUT,Force India Mercedes,51,1:24.937,245.532
11,3,Michael SchumacherMSC,Mercedes,49,1:24.947,245.503
12,15,Vitantonio LiuzziLIU,Force India Mercedes,51,1:25.102,245.056
13,16,Sebastien BuemiBUE,STR Ferrari,51,1:25.224,244.705
14,9,Rubens BarrichelloBAR,Williams Cosworth,48,1:25.239,244.662
15,17,Jaime AlguersuariALG,STR Ferrari,51,1:25.472,243.995
16,22,Pedro de la RosaDLR,Sauber Ferrari,47,1:26.325,241.584
17,24,Timo GlockGLO,Virgin Cosworth,50,1:27.765,237.620
18,19,Heikki KovalainenKOV,Lotus Cosworth,50,1:27.822,237.466
19,25,Lucas di GrassiDIG,Virgin Cosworth,46,1:28.171,236.526
20,20,Sakon YamamotoYAM,HRT Cosworth,45,1:28.875,234.653
21,18,Jarno TrulliTRU,Lotus Cosworth,30,1:29.017,234.278
22,21,Bruno SennaSEN,HRT Cosworth,10,1:30.880,229.476
