Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Jenson ButtonBUT,McLaren Mercedes,54,1:38.766,197.521
2,3,Michael SchumacherMSC,Mercedes,53,1:38.968,197.118
3,5,Sebastian VettelVET,RBR Renault,52,1:39.141,196.774
4,2,Lewis HamiltonHAM,McLaren Mercedes,56,1:39.156,196.744
5,9,Rubens BarrichelloBAR,Williams Cosworth,56,1:39.489,196.085
6,23,Kamui KobayashiKOB,Sauber Ferrari,57,1:39.517,196.030
7,11,Robert KubicaKUB,Renault,55,1:39.542,195.981
8,14,Adrian SutilSUT,Force India Mercedes,52,1:39.803,195.469
9,4,Nico RosbergROS,Mercedes,57,1:39.878,195.322
10,8,Fernando AlonsoALO,Ferrari,50,1:39.889,195.300
11,16,Sebastien BuemiBUE,STR Ferrari,53,1:40.084,194.920
12,12,Vitaly PetrovPET,Renault,57,1:40.100,194.889
13,7,Felipe MassaMAS,Ferrari,52,1:40.208,194.679
14,15,Vitantonio LiuzziLIU,Force India Mercedes,52,1:40.305,194.490
15,17,Jaime AlguersuariALG,STR Ferrari,55,1:40.327,194.448
16,22,Pedro de la RosaDLR,Sauber Ferrari,56,1:40.430,194.248
17,10,Nico HulkenbergHUL,Williams Cosworth,46,1:40.790,193.554
18,18,Jarno TrulliTRU,Lotus Cosworth,53,1:41.770,191.691
19,24,Timo GlockGLO,Virgin Cosworth,48,1:42.319,190.662
20,25,Lucas di GrassiDIG,Virgin Cosworth,45,1:42.414,190.485
21,21,Bruno SennaSEN,HRT Cosworth,55,1:42.927,189.536
22,20,Karun ChandhokCHD,HRT Cosworth,51,1:43.820,187.905
23,6,Mark WebberWEB,RBR Renault,5,1:44.064,187.465
24,19,Heikki KovalainenKOV,Lotus Cosworth,8,1:46.130,183.816
