Pos,No,Driver,Car,Lap,Time,Avg speed
1,6,Mark WebberWEB,RBR Renault,53,1:33.474,223.647
2,1,Jenson ButtonBUT,McLaren Mercedes,53,1:33.529,223.515
3,5,Sebastian VettelVET,RBR Renault,51,1:33.653,223.219
4,8,Fernando AlonsoALO,Ferrari,53,1:33.823,222.815
5,17,Jaime AlguersuariALG,STR Ferrari,49,1:34.365,221.535
6,23,Kamui KobayashiKOB,Sauber Ferrari,50,1:34.486,221.251
7,3,Michael SchumacherMSC,Mercedes,52,1:34.853,220.395
8,16,Sebastien BuemiBUE,STR Ferrari,52,1:35.116,219.786
9,2,Lewis HamiltonHAM,McLaren Mercedes,35,1:35.182,219.633
10,22,Nick HeidfeldHEI,Sauber Ferrari,52,1:35.521,218.854
11,9,Rubens BarrichelloBAR,Williams Cosworth,53,1:35.597,218.680
12,4,Nico RosbergROS,Mercedes,44,1:36.108,217.517
13,14,Adrian SutilSUT,Force India Mercedes,43,1:36.319,217.041
14,19,Heikki KovalainenKOV,Lotus Cosworth,51,1:37.620,214.148
15,18,Jarno TrulliTRU,Lotus Cosworth,28,1:39.710,209.660
16,20,Sakon YamamotoYAM,HRT Cosworth,33,1:39.806,209.458
17,24,Timo GlockGLO,Virgin Cosworth,51,1:39.813,209.443
18,21,Bruno SennaSEN,HRT Cosworth,49,1:40.329,208.366
19,11,Robert KubicaKUB,Renault,2,2:41.378,129.541
