Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Lewis HamiltonHAM,McLaren Mercedes,47,1:41.274,197.428
2,1,Jenson ButtonBUT,McLaren Mercedes,48,1:41.636,196.725
3,4,Nico RosbergROS,Mercedes,52,1:41.711,196.580
4,5,Sebastian VettelVET,RBR Renault,50,1:41.739,196.526
5,11,Robert KubicaKUB,Renault,51,1:41.753,196.499
6,6,Mark WebberWEB,RBR Renault,52,1:42.196,195.647
7,8,Fernando AlonsoALO,Ferrari,52,1:42.227,195.588
8,12,Vitaly PetrovPET,Renault,52,1:42.311,195.427
9,10,Nico HulkenbergHUL,Williams Cosworth,51,1:42.397,195.263
10,16,Sebastien BuemiBUE,STR Ferrari,50,1:42.573,194.928
11,9,Rubens BarrichelloBAR,Williams Cosworth,50,1:42.669,194.746
12,22,Nick HeidfeldHEI,Sauber Ferrari,52,1:42.673,194.738
13,14,Adrian SutilSUT,Force India Mercedes,52,1:42.695,194.696
14,7,Felipe MassaMAS,Ferrari,52,1:42.725,194.640
15,17,Jaime AlguersuariALG,STR Ferrari,49,1:42.727,194.636
16,23,Kamui KobayashiKOB,Sauber Ferrari,53,1:42.733,194.624
17,19,Heikki KovalainenKOV,Lotus Cosworth,52,1:45.378,189.739
18,18,Jarno TrulliTRU,Lotus Cosworth,42,1:45.979,188.663
19,25,Lucas di GrassiDIG,Virgin Cosworth,50,1:46.126,188.402
20,21,Bruno SennaSEN,HRT Cosworth,52,1:46.255,188.173
21,20,Christian KlienKLI,HRT Cosworth,44,1:46.646,187.483
22,24,Timo GlockGLO,Virgin Cosworth,39,1:46.837,187.148
