Pos,No,Driver,Car,Lap,Time,Avg speed
1,8,Fernando AlonsoALO,Ferrari,42,1:50.257,183.335
2,5,Sebastian VettelVET,RBR Renault,44,1:50.375,183.139
3,2,Lewis HamiltonHAM,McLaren Mercedes,42,1:50.430,183.048
4,7,Felipe MassaMAS,Ferrari,44,1:50.502,182.928
5,15,Vitantonio LiuzziLIU,Force India Mercedes,45,1:51.371,181.501
6,9,Rubens BarrichelloBAR,Williams Cosworth,45,1:51.564,181.187
7,11,Robert KubicaKUB,Renault,45,1:51.604,181.122
8,3,Michael SchumacherMSC,Mercedes,43,1:51.835,180.748
9,17,Jaime AlguersuariALG,STR Ferrari,43,1:51.962,180.543
10,10,Nico HulkenbergHUL,Williams Cosworth,43,1:51.982,180.511
11,1,Jenson ButtonBUT,McLaren Mercedes,42,1:52.193,180.171
12,14,Adrian SutilSUT,Force India Mercedes,40,1:52.601,179.518
13,12,Vitaly PetrovPET,Renault,39,1:53.031,178.835
14,23,Kamui KobayashiKOB,Sauber Ferrari,42,1:53.086,178.748
15,22,Nick HeidfeldHEI,Sauber Ferrari,42,1:53.263,178.469
16,19,Heikki KovalainenKOV,Lotus Cosworth,43,1:55.018,175.746
17,16,Sebastien BuemiBUE,STR Ferrari,27,1:56.768,173.112
18,24,Timo GlockGLO,Virgin Cosworth,29,1:58.102,171.157
19,20,Sakon YamamotoYAM,HRT Cosworth,36,1:58.313,170.851
20,21,Bruno SennaSEN,HRT Cosworth,30,1:59.290,169.452
21,6,Mark WebberWEB,RBR Renault,18,2:00.025,168.414
22,4,Nico RosbergROS,Mercedes,18,2:00.652,167.539
23,25,Lucas di GrassiDIG,Virgin Cosworth,25,2:02.635,164.830
24,18,Jarno TrulliTRU,Lotus Cosworth,20,2:05.161,161.503
