Pos,No,Driver,Car,Time
1,16,Jarno TrulliTRU,Toyota,1:10.625
2,9,Kimi RäikkönenRAI,McLaren Mercedes,1:10.694
3,3,Jenson ButtonBUT,BAR Honda,1:11.277
4,6,Giancarlo FisichellaFIS,Renault,1:11.290
5,1,Michael SchumacherMSC,Ferrari,1:11.369
6,5,Fernando AlonsoALO,Renault,1:11.380
7,2,Rubens BarrichelloBAR,Ferrari,1:11.431
8,4,Takuma SatoSAT,BAR Honda,1:11.497
9,7,Mark WebberWEB,Williams BMW,1:11.527
10,12,Felipe MassaMAS,Sauber Petronas,1:11.555
11,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:11.681
12,11,Jacques VilleneuveVIL,Sauber Petronas,1:11.691
13,17,Ricardo ZontaZON,Toyota,1:11.754
14,15,Christian KlienKLI,RBR Cosworth,1:12.132
15,8,Nick HeidfeldHEI,Williams BMW,1:12.430
16,14,David CoulthardCOU,RBR Cosworth,1:12.682
17,18,Tiago MonteiroMON,Jordan Toyota,1:13.462
18,21,Christijan AlbersALB,Minardi Cosworth,1:13.632
19,19,Narain KarthikeyanKAR,Jordan Toyota,1:13.776
20,20,Patrick Friesacher FRI,Minardi Cosworth,1:14.494
