Pos,No,Driver,Car,Time
1,5,Fernando AlonsoALO,Renault,1:11.988
2,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:12.145
3,6,Giancarlo FisichellaFIS,Renault,1:12.558
4,3,Jenson ButtonBUT,BAR Honda,1:12.696
5,9,Kimi RäikkönenRAI,McLaren Mercedes,1:12.781
6,15,Christian KlienKLI,RBR Cosworth,1:12.889
7,1,Michael SchumacherMSC,Ferrari,1:12.976
8,12,Felipe MassaMAS,Sauber Petronas,1:13.151
9,2,Rubens BarrichelloBAR,Ferrari,1:13.183
10,17,Ralf SchumacherRSC,Toyota,1:13.285
11,18,Tiago MonteiroMON,Jordan Toyota,1:13.387
12,7,Mark WebberWEB,Williams BMW,1:13.538
13,8,Antonio PizzoniaPIZ,Williams BMW,1:13.581
14,14,David CoulthardCOU,RBR Cosworth,1:13.844
15,19,Narain KarthikeyanKAR,Jordan Toyota,1:14.520
16,21,Christijan AlbersALB,Minardi Cosworth,1:14.763
17,16,Jarno TrulliTRU,Toyota,1:13.041
18,20,Robert DoornbosDOO,Minardi Cosworth,
19,4,Takuma SatoSAT,BAR Honda,
