Pos,No,Driver,Car,Time
1,5,Fernando AlonsoALO,Renault,1:34.080
2,6,Giancarlo FisichellaFIS,Renault,1:34.401
3,9,Kimi RäikkönenRAI,McLaren Mercedes,1:34.488
4,3,Jenson ButtonBUT,BAR Honda,1:34.801
5,10,Juan Pablo MontoyaMOY,McLaren Mercedes,1:35.188
6,1,Michael SchumacherMSC,Ferrari,1:35.301
7,14,David CoulthardCOU,RBR Cosworth,1:35.428
8,2,Rubens BarrichelloBAR,Ferrari,1:35.610
9,17,Ralf SchumacherRSC,Toyota,1:35.723
10,7,Mark WebberWEB,Williams BMW,1:35.739
11,12,Felipe MassaMAS,Sauber Petronas,1:35.898
12,16,Jarno TrulliTRU,Toyota,1:36.044
13,8,Antonio PizzoniaPIZ,Williams BMW,1:36.445
14,15,Christian KlienKLI,RBR Cosworth,1:36.472
15,19,Narain KarthikeyanKAR,Jordan Toyota,1:36.707
16,11,Jacques VilleneuveVIL,Sauber Petronas,1:36.788
17,4,Takuma SatoSAT,BAR Honda,1:37.083
18,21,Christijan AlbersALB,Minardi Cosworth,1:39.105
19,18,Tiago MonteiroMON,Jordan Toyota,1:39.233
20,20,Robert DoornbosDOO,Minardi Cosworth,1:39.460
