Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:24.178,,26
2,33,Max VerstappenVER,Red Bull Racing Honda,1:24.603,+0.425s,24
3,16,Charles LeclercLEC,Ferrari,1:24.654,+0.476s,27
4,77,Valtteri BottasBOT,Mercedes,1:24.842,+0.664s,28
5,55,Carlos SainzSAI,Ferrari,1:24.860,+0.682s,25
6,31,Esteban OconOCO,Alpine Renault,1:24.909,+0.731s,30
7,4,Lando NorrisNOR,McLaren Mercedes,1:25.347,+1.169s,26
8,10,Pierre GaslyGAS,AlphaTauri Honda,1:25.382,+1.204s,30
9,14,Fernando AlonsoALO,Alpine Renault,1:25.383,+1.205s,26
10,11,Sergio PerezPER,Red Bull Racing Honda,1:25.459,+1.281s,24
11,63,George RussellRUS,Williams Mercedes,1:25.685,+1.507s,25
12,3,Daniel RicciardoRIC,McLaren Mercedes,1:25.750,+1.572s,26
13,5,Sebastian VettelVET,Aston Martin Mercedes,1:25.810,+1.632s,26
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:25.813,+1.635s,24
15,6,Nicholas LatifiLAT,Williams Mercedes,1:25.863,+1.685s,28
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:25.933,+1.755s,24
17,18,Lance StrollSTR,Aston Martin Mercedes,1:26.361,+2.183s,29
18,22,Yuki TsunodaTSU,AlphaTauri Honda,1:26.424,+2.246s,28
19,47,Mick SchumacherMSC,Haas Ferrari,1:26.636,+2.458s,25
20,9,Nikita MazepinMAZ,Haas Ferrari,1:27.019,+2.841s,28
