Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:33.448,,24
2,44,Lewis HamiltonHAM,Mercedes,1:33.783,+0.335s,21
3,33,Max VerstappenVER,Red Bull Racing Honda,1:33.880,+0.432s,23
4,11,Sergio PerezPER,Red Bull Racing Honda,1:34.193,+0.745s,25
5,31,Esteban OconOCO,Alpine Renault,1:34.329,+0.881s,25
6,3,Daniel RicciardoRIC,McLaren Mercedes,1:34.644,+1.196s,24
7,14,Fernando AlonsoALO,Alpine Renault,1:34.693,+1.245s,21
8,10,Pierre GaslyGAS,AlphaTauri Honda,1:34.699,+1.251s,20
9,4,Lando NorrisNOR,McLaren Mercedes,1:34.707,+1.259s,21
10,22,Yuki TsunodaTSU,AlphaTauri Honda,1:34.847,+1.399s,22
11,16,Charles LeclercLEC,Ferrari,1:34.950,+1.502s,24
12,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:35.116,+1.668s,23
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:35.135,+1.687s,20
14,18,Lance StrollSTR,Aston Martin Mercedes,1:35.275,+1.827s,23
15,5,Sebastian VettelVET,Aston Martin Mercedes,1:35.289,+1.841s,16
16,55,Carlos SainzSAI,Ferrari,1:35.342,+1.894s,24
17,6,Nicholas LatifiLAT,Williams Mercedes,1:35.612,+2.164s,22
18,9,Nikita MazepinMAZ,Haas Ferrari,1:36.651,+3.203s,24
19,47,Mick SchumacherMSC,Haas Ferrari,1:37.329,+3.881s,14
20,45,Roy NissanyNIS,Williams Mercedes,1:37.881,+4.433s,16
