Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:29.786,,21
2,33,Max VerstappenVER,Red Bull Racing Honda,1:29.842,+0.056s,23
3,77,Valtteri BottasBOT,Mercedes,1:30.009,+0.223s,24
4,10,Pierre GaslyGAS,AlphaTauri Honda,1:30.263,+0.477s,28
5,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:30.318,+0.532s,27
6,55,Carlos SainzSAI,Ferrari,1:30.564,+0.778s,26
7,16,Charles LeclercLEC,Ferrari,1:30.600,+0.814s,26
8,3,Daniel RicciardoRIC,McLaren Mercedes,1:30.608,+0.822s,25
9,14,Fernando AlonsoALO,Alpine Renault,1:30.842,+1.056s,27
10,5,Sebastian VettelVET,Aston Martin Mercedes,1:30.886,+1.100s,25
11,11,Sergio PerezPER,Red Bull Racing Honda,1:30.960,+1.174s,27
12,31,Esteban OconOCO,Alpine Renault,1:31.023,+1.237s,29
13,4,Lando NorrisNOR,McLaren Mercedes,1:31.029,+1.243s,23
14,18,Lance StrollSTR,Aston Martin Mercedes,1:31.044,+1.258s,25
15,22,Yuki TsunodaTSU,AlphaTauri Honda,1:31.099,+1.313s,26
16,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:31.296,+1.510s,26
17,63,George RussellRUS,Williams Mercedes,1:31.343,+1.557s,28
18,47,Mick SchumacherMSC,Haas Ferrari,1:31.525,+1.739s,24
19,6,Nicholas LatifiLAT,Williams Mercedes,1:31.821,+2.035s,27
20,9,Nikita MazepinMAZ,Haas Ferrari,1:33.464,+3.678s,23
