Pos,No,Driver,Car,Time,Gap,Laps
1,33,Max VerstappenVER,Red Bull Racing Honda,1:23.723,,22
2,10,Pierre GaslyGAS,AlphaTauri Honda,1:24.160,+0.437s,28
3,77,Valtteri BottasBOT,Mercedes,1:24.194,+0.471s,24
4,44,Lewis HamiltonHAM,Mercedes,1:24.509,+0.786s,21
5,22,Yuki TsunodaTSU,AlphaTauri Honda,1:24.648,+0.925s,27
6,55,Carlos SainzSAI,Ferrari,1:24.713,+0.990s,26
7,16,Charles LeclercLEC,Ferrari,1:24.790,+1.067s,27
8,11,Sergio PerezPER,Red Bull Racing Honda,1:24.915,+1.192s,22
9,31,Esteban OconOCO,Alpine Renault,1:24.972,+1.249s,23
10,4,Lando NorrisNOR,McLaren Mercedes,1:25.215,+1.492s,19
11,3,Daniel RicciardoRIC,McLaren Mercedes,1:25.291,+1.568s,24
12,5,Sebastian VettelVET,Aston Martin Mercedes,1:25.328,+1.605s,19
13,6,Nicholas LatifiLAT,Williams Mercedes,1:25.688,+1.965s,24
14,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:25.757,+2.034s,23
15,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:25.828,+2.105s,25
16,63,George RussellRUS,Williams Mercedes,1:25.871,+2.148s,24
17,14,Fernando AlonsoALO,Alpine Renault,1:25.905,+2.182s,21
18,47,Mick SchumacherMSC,Haas Ferrari,1:26.699,+2.976s,21
19,18,Lance StrollSTR,Aston Martin Mercedes,1:26.712,+2.989s,11
20,9,Nikita MazepinMAZ,Haas Ferrari,1:27.500,+3.777s,16
