Pos,No,Driver,Car,Time,Gap,Laps
1,77,Valtteri BottasBOT,Mercedes,1:16.564,,23
2,44,Lewis HamiltonHAM,Mercedes,1:16.605,+0.041s,25
3,33,Max VerstappenVER,Red Bull Racing Honda,1:16.622,+0.058s,21
4,10,Pierre GaslyGAS,AlphaTauri Honda,1:16.888,+0.324s,21
5,55,Carlos SainzSAI,Ferrari,1:16.888,+0.324s,26
6,16,Charles LeclercLEC,Ferrari,1:16.909,+0.345s,13
7,14,Fernando AlonsoALO,Alpine Renault,1:17.457,+0.893s,23
8,18,Lance StrollSTR,Aston Martin Mercedes,1:17.489,+0.925s,19
9,6,Nicholas LatifiLAT,Williams Mercedes,1:17.739,+1.175s,24
10,3,Daniel RicciardoRIC,McLaren Mercedes,1:17.769,+1.205s,23
11,63,George RussellRUS,Williams Mercedes,1:17.866,+1.302s,25
12,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:17.883,+1.319s,16
13,4,Lando NorrisNOR,McLaren Mercedes,1:17.935,+1.371s,16
14,5,Sebastian VettelVET,Aston Martin Mercedes,1:17.984,+1.420s,23
15,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:18.058,+1.494s,24
16,11,Sergio PerezPER,Red Bull Racing Honda,1:18.228,+1.664s,15
17,31,Esteban OconOCO,Alpine Renault,1:18.360,+1.796s,20
18,9,Nikita MazepinMAZ,Haas Ferrari,1:18.823,+2.259s,22
19,47,Mick SchumacherMSC,Haas Ferrari,1:19.480,+2.916s,18
20,22,Yuki TsunodaTSU,AlphaTauri Honda,1:19.781,+3.217s,11
