Pos,No,Driver,Car,Time,Gap,Laps
1,33,Max VerstappenVER,Red Bull Racing Honda,1:05.910,,34
2,10,Pierre GaslyGAS,AlphaTauri Honda,1:06.166,+0.256s,33
3,44,Lewis HamiltonHAM,Mercedes,1:06.332,+0.422s,32
4,77,Valtteri BottasBOT,Mercedes,1:06.386,+0.476s,34
5,22,Yuki TsunodaTSU,AlphaTauri Honda,1:06.397,+0.487s,36
6,14,Fernando AlonsoALO,Alpine Renault,1:06.519,+0.609s,36
7,31,Esteban OconOCO,Alpine Renault,1:06.551,+0.641s,35
8,18,Lance StrollSTR,Aston Martin Mercedes,1:06.584,+0.674s,33
9,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:06.614,+0.704s,29
10,16,Charles LeclercLEC,Ferrari,1:06.629,+0.719s,36
11,55,Carlos SainzSAI,Ferrari,1:06.630,+0.720s,33
12,3,Daniel RicciardoRIC,McLaren Mercedes,1:06.669,+0.759s,38
13,11,Sergio PerezPER,Red Bull Racing Honda,1:06.696,+0.786s,33
14,5,Sebastian VettelVET,Aston Martin Mercedes,1:06.708,+0.798s,32
15,63,George RussellRUS,Williams Mercedes,1:06.848,+0.938s,32
16,4,Lando NorrisNOR,McLaren Mercedes,1:06.861,+0.951s,35
17,6,Nicholas LatifiLAT,Williams Mercedes,1:07.180,+1.270s,31
18,47,Mick SchumacherMSC,Haas Ferrari,1:07.473,+1.563s,30
19,88,Robert KubicaKUB,Alfa Romeo Racing Ferrari,1:07.823,+1.913s,30
20,9,Nikita MazepinMAZ,Haas Ferrari,1:08.081,+2.171s,31
