Pos,No,Driver,Car,Time,Gap,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:11.500,,17
2,33,Max VerstappenVER,Red Bull Racing Honda,1:11.597,+0.097s,18
3,55,Carlos SainzSAI,Ferrari,1:11.601,+0.101s,19
4,16,Charles LeclercLEC,Ferrari,1:11.623,+0.123s,18
5,77,Valtteri BottasBOT,Mercedes,1:11.738,+0.238s,18
6,14,Fernando AlonsoALO,Alpine Renault,1:12.158,+0.658s,18
7,31,Esteban OconOCO,Alpine Renault,1:12.231,+0.731s,17
8,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,1:12.359,+0.859s,18
9,18,Lance StrollSTR,Aston Martin Mercedes,1:12.431,+0.931s,18
10,10,Pierre GaslyGAS,AlphaTauri Honda,1:12.515,+1.015s,19
11,4,Lando NorrisNOR,McLaren Mercedes,1:12.679,+1.179s,18
12,6,Nicholas LatifiLAT,Williams Mercedes,1:12.907,+1.407s,16
13,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,1:13.053,+1.553s,20
14,3,Daniel RicciardoRIC,McLaren Mercedes,1:13.081,+1.581s,18
15,63,George RussellRUS,Williams Mercedes,1:13.181,+1.681s,15
16,11,Sergio PerezPER,Red Bull Racing Honda,1:13.328,+1.828s,18
17,9,Nikita MazepinMAZ,Haas Ferrari,1:13.516,+2.016s,14
18,47,Mick SchumacherMSC,Haas Ferrari,1:13.847,+2.347s,17
19,5,Sebastian VettelVET,Aston Martin Mercedes,1:15.984,+4.484s,6
20,22,Yuki TsunodaTSU,AlphaTauri Honda,,,3
