Pos,No,Driver,Car,Time
1,1,Nelson PiquetPIQ,Brabham BMW,1:40.980
2,7,Alain ProstPRO,McLaren TAG,1:41.640
3,12,Nigel MansellMAN,Lotus Renault,1:42.172
4,27,Michele AlboretoALB,Ferrari,1:42.246
5,11,Elio de AngelisDEA,Lotus Renault,1:42.434
6,16,Derek WarwickWAR,Renault,1:42.637
7,19,Ayrton SennaSEN,Toleman Hart,1:42.651
8,23,Eddie  CheeverCHE,Alfa Romeo,1:43.065
9,15,Patrick TambayTAM,Renault,1:43.289
10,8,Niki LaudaLAU,McLaren TAG,1:43.484
11,26,Andrea de CesarisDEC,Ligier Renault,1:43.998
12,18,Thierry BoutsenBOU,Arrows BMW,1:44.063
13,14,Manfred WinkelhockWIN,ATS BMW,1:44.228
14,28,Rene ArnouxARN,Ferrari,1:44.748
15,20,Johnny CecottoCEC,Toleman Hart,1:45.231
16,25,Francois HesnaultHES,Ligier Renault,1:45.419
17,5,Jacques LaffiteLAF,Williams Honda,1:46.225
18,9,Philippe AlliotALL,RAM Hart,1:46.333
19,6,Keke RosbergROS,Williams Honda,1:46.495
20,17,Marc SurerSUR,Arrows BMW,1:46.626
21,2,Teo FabiFAB,Brabham BMW,1:47.335
22,10,Jonathan  PalmerPAL,RAM Hart,1:47.743
23,22,Riccardo PatresePAT,Alfa Romeo,1:47.974
24,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:48.865
