Pos,No,Driver,Car,Time
1,1,Nelson PiquetPIQ,Brabham BMW,1:26.173
2,7,Alain ProstPRO,McLaren TAG,1:26.203
3,11,Elio de AngelisDEA,Lotus Renault,1:26.318
4,8,Niki LaudaLAU,McLaren TAG,1:26.715
5,15,Patrick TambayTAM,Renault,1:26.748
6,16,Derek WarwickWAR,Renault,1:27.123
7,2,Teo FabiFAB,Brabham BMW,1:27.201
8,12,Nigel MansellMAN,Lotus Renault,1:27.558
9,6,Keke RosbergROS,Williams Honda,1:28.760
10,19,Ayrton SennaSEN,Toleman Hart,1:29.200
11,5,Jacques LaffiteLAF,Williams Honda,1:29.228
12,27,Michele AlboretoALB,Ferrari,1:29.694
13,22,Riccardo PatresePAT,Alfa Romeo,1:30.736
14,14,Manfred WinkelhockWIN,ATS BMW,1:30.853
15,28,Rene ArnouxARN,Ferrari,1:31.003
16,23,Eddie  CheeverCHE,Alfa Romeo,1:31.045
17,18,Thierry BoutsenBOU,Arrows BMW,1:31.189
18,26,Andrea de CesarisDEC,Ligier Renault,1:31.588
19,17,Marc SurerSUR,Arrows BMW,1:31.655
20,31,Gerhard BergerBER,ATS BMW,1:31.904
21,25,Francois HesnaultHES,Ligier Renault,1:32.270
22,30,Jo GartnerGAR,Osella Alfa Romeo,1:33.019
23,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:33.172
24,10,Jonathan  PalmerPAL,RAM Hart,1:34.128
25,9,Philippe AlliotALL,RAM Hart,1:34.495
26,21,Huub RothengatterROT,Spirit Ford,1:35.605
