Pos,No,Driver,Car,Time
1,1,Nelson PiquetPIQ,Brabham BMW,1:18.871
2,7,Alain ProstPRO,McLaren TAG,1:19.175
3,15,Patrick TambayTAM,Renault,1:19.499
4,6,Keke RosbergROS,Williams Honda,1:20.652
5,27,Michele AlboretoALB,Ferrari,1:20.910
6,28,Rene ArnouxARN,Ferrari,1:21.180
7,16,Derek WarwickWAR,Renault,1:21.571
8,12,Nigel MansellMAN,Lotus Renault,1:21.710
9,22,Riccardo PatresePAT,Alfa Romeo,1:21.937
10,2,Teo FabiFAB,Brabham BMW,1:22.206
11,18,Thierry BoutsenBOU,Arrows BMW,1:22.248
12,19,Ayrton SennaSEN,Toleman Hart,1:22.439
13,23,Eddie  CheeverCHE,Alfa Romeo,1:22.525
14,5,Jacques LaffiteLAF,Williams Honda,1:22.613
15,8,Niki LaudaLAU,McLaren TAG,1:22.643
16,17,Marc SurerSUR,Arrows BMW,1:22.708
17,26,Andrea de CesarisDEC,Ligier Renault,1:23.034
18,31,Gerhard BergerBER,ATS BMW,1:23.116
19,25,Francois HesnaultHES,Ligier Renault,1:23.322
20,24,Piercarlo GhinzaniGHI,Osella Alfa Romeo,1:24.699
21,10,Jonathan  PalmerPAL,RAM Hart,1:25.050
22,30,Jo GartnerGAR,Osella Alfa Romeo,1:26.156
23,11,Elio de AngelisDEA,Lotus Renault,1:26.161
24,21,Mauro BaldiBAL,Spirit Ford,1:28.137
25,9,Philippe AlliotALL,RAM Hart,1:30.259
26,20,Stefan JohanssonJOH,Toleman Hart,1:41.178
