Pos,No,Driver,Car,Lap,Time,Avg speed
1,1,Michael SchumacherMSC,Ferrari,13,1:11.473,211.145
2,8,Fernando AlonsoALO,Renault,9,1:11.525,210.991
3,3,Juan Pablo MontoyaMOY,Williams BMW,9,1:11.595,210.785
4,6,Kimi RäikkönenRAI,McLaren Mercedes,9,1:11.617,210.720
5,4,Ralf SchumacherRSC,Williams BMW,13,1:11.655,210.609
6,5,David CoulthardCOU,McLaren Mercedes,12,1:12.009,209.573
7,7,Jarno TrulliTRU,Renault,14,1:12.015,209.556
8,17,Jenson ButtonBUT,BAR Honda,10,1:13.038,206.621
9,9,Nick HeidfeldHEI,Sauber Petronas,13,1:13.085,206.488
10,14,Mark WebberWEB,Jaguar Cosworth,12,1:13.099,206.448
11,21,Cristiano da MattaDAM,Toyota,13,1:13.231,206.076
12,15,Justin WilsonWIL,Jaguar Cosworth,12,1:13.324,205.815
13,10,Heinz-Harald FrentzenFRE,Sauber Petronas,71,1:13.338,205.775
14,20,Olivier PanisPAN,Toyota,12,1:13.340,205.770
15,16,Jacques VilleneuveVIL,BAR Honda,62,1:13.538,205.216
16,11,Giancarlo FisichellaFIS,Jordan Ford,13,1:13.630,204.959
17,2,Rubens BarrichelloBAR,Ferrari,2,1:13.905,204.197
18,12,Ralph FirmanFIR,Jordan Ford,11,1:14.687,202.059
19,18,Nicolas KiesaKIE,Minardi Cosworth,67,1:14.737,201.924
20,19,Jos VerstappenVER,Minardi Cosworth,68,1:15.257,200.528
