Pos,No,Driver,Car,Lap,Time,Avg speed
1,3,Juan Pablo MontoyaMOY,Williams BMW,14,1:14.917,219.795
2,7,Jarno TrulliTRU,Renault,13,1:15.740,217.406
3,20,Olivier PanisPAN,Toyota,34,1:15.883,216.997
4,5,David CoulthardCOU,McLaren Mercedes,14,1:16.003,216.654
5,21,Cristiano da MattaDAM,Toyota,35,1:16.051,216.517
6,8,Fernando AlonsoALO,Renault,16,1:16.060,216.492
7,1,Michael SchumacherMSC,Ferrari,36,1:16.081,216.432
8,17,Jenson ButtonBUT,BAR Honda,41,1:17.430,212.661
9,14,Mark WebberWEB,Jaguar Cosworth,46,1:17.754,211.775
10,9,Nick HeidfeldHEI,Sauber Petronas,10,1:18.036,211.010
11,11,Giancarlo FisichellaFIS,Jordan Ford,51,1:18.145,210.715
12,16,Jacques VilleneuveVIL,BAR Honda,65,1:18.235,210.473
13,15,Justin WilsonWIL,Jaguar Cosworth,3,1:19.441,207.278
14,18,Nicolas KiesaKIE,Minardi Cosworth,26,1:20.171,205.390
15,19,Jos VerstappenVER,Minardi Cosworth,6,1:20.399,204.808
16,4,Ralf SchumacherRSC,Williams BMW,0,,
17,10,Heinz-Harald FrentzenFRE,Sauber Petronas,0,,
