Pos,No,Driver,Car,Lap,Time,Avg speed
1,6,Kimi RäikkönenRAI,McLaren Mercedes,32,1:27.724,217.623
2,1,Michael SchumacherMSC,Ferrari,27,1:27.759,217.536
3,3,Juan Pablo MontoyaMOY,Williams BMW,39,1:27.942,217.083
4,8,Fernando AlonsoALO,Renault,35,1:28.170,216.522
5,5,David CoulthardCOU,McLaren Mercedes,28,1:28.272,216.272
6,17,Jenson ButtonBUT,BAR Honda,57,1:28.600,215.471
7,4,Ralf SchumacherRSC,Williams BMW,37,1:28.617,215.430
8,7,Jarno TrulliTRU,Renault,44,1:28.638,215.379
9,16,Jacques VilleneuveVIL,BAR Honda,57,1:28.770,215.059
10,10,Heinz-Harald FrentzenFRE,Sauber Petronas,35,1:29.096,214.272
11,15,Antonio PizzoniaPIZ,Jaguar Cosworth,37,1:29.217,213.981
12,11,Giancarlo FisichellaFIS,Jordan Ford,49,1:29.274,213.845
13,20,Olivier PanisPAN,Toyota,23,1:29.694,212.843
14,14,Mark WebberWEB,Jaguar Cosworth,14,1:29.697,212.836
15,19,Jos VerstappenVER,Minardi Cosworth,29,1:31.785,207.994
16,18,Justin WilsonWIL,Minardi Cosworth,13,1:33.139,204.971
17,9,Nick HeidfeldHEI,Sauber Petronas,14,1:33.519,204.138
18,21,Cristiano da MattaDAM,Toyota,7,1:33.753,203.628
19,12,Ralph FirmanFIR,Jordan Ford,6,1:36.644,197.537
20,2,Rubens BarrichelloBAR,Ferrari,5,1:37.086,196.638
