Pos,No,Driver,Car,Lap,Time,Avg speed
1,2,Rubens BarrichelloBAR,Ferrari,38,1:22.236,225.054
2,5,David CoulthardCOU,McLaren Mercedes,60,1:22.692,223.813
3,7,Jarno TrulliTRU,Renault,9,1:22.797,223.529
4,8,Fernando AlonsoALO,Renault,37,1:22.819,223.470
5,6,Kimi RäikkönenRAI,McLaren Mercedes,9,1:22.911,223.222
6,3,Juan Pablo MontoyaMOY,Williams BMW,33,1:22.938,223.149
7,4,Ralf SchumacherRSC,Williams BMW,10,1:22.943,223.136
8,1,Michael SchumacherMSC,Ferrari,10,1:23.024,222.918
9,15,Antonio PizzoniaPIZ,Jaguar Cosworth,9,1:23.158,222.559
10,20,Olivier PanisPAN,Toyota,47,1:23.463,221.746
11,21,Cristiano da MattaDAM,Toyota,32,1:23.528,221.573
12,16,Jacques VilleneuveVIL,BAR Honda,57,1:23.705,221.105
13,14,Mark WebberWEB,Jaguar Cosworth,28,1:23.833,220.767
14,17,Jenson ButtonBUT,BAR Honda,53,1:23.912,220.559
15,10,Heinz-Harald FrentzenFRE,Sauber Petronas,58,1:23.933,220.504
16,9,Nick HeidfeldHEI,Sauber Petronas,9,1:24.537,218.928
17,11,Giancarlo FisichellaFIS,Jordan Ford,40,1:24.823,218.190
18,12,Ralph FirmanFIR,Jordan Ford,33,1:25.087,217.513
19,18,Justin WilsonWIL,Minardi Cosworth,9,1:25.859,215.558
20,19,Jos VerstappenVER,Minardi Cosworth,2,1:27.021,212.679
